rule,normalized_support
srv_serror_rate,0.5892034794473819
dst_host_srv_serror_rate,0.5837114105406789
dst_host_srv_serror_rate & srv_serror_rate,0.5806071976803684
serror_rate,0.580521917107283
serror_rate & srv_serror_rate,0.5773835920177384
dst_host_srv_serror_rate & serror_rate,0.5715333447040765
dst_host_serror_rate,0.5713286713286714
dst_host_srv_serror_rate & serror_rate & srv_serror_rate,0.5691113764284496
srv_serror_rate & dst_host_serror_rate,0.5681903462391267
dst_host_srv_serror_rate & dst_host_serror_rate,0.5680880095514241
dst_host_srv_serror_rate & srv_serror_rate & dst_host_serror_rate,0.5649837966911138
serror_rate & dst_host_serror_rate,0.5613849565069077
serror_rate & srv_serror_rate & dst_host_serror_rate,0.5589288760020468
dst_host_srv_serror_rate & serror_rate & dst_host_serror_rate,0.558400136448917
dst_host_srv_serror_rate & serror_rate & srv_serror_rate & dst_host_serror_rate,0.5559781681732902
same_srv_rate,0.2292171243390755
srv_rerror_rate,0.2060719768036841
dst_host_srv_rerror_rate,0.2041958041958042
srv_rerror_rate & dst_host_srv_rerror_rate,0.2041105236227187
rerror_rate,0.1720791403718232
srv_rerror_rate & rerror_rate,0.1719597475695036
dst_host_srv_rerror_rate & rerror_rate,0.1700835749616237
srv_rerror_rate & dst_host_srv_rerror_rate & rerror_rate,0.1700324066177724
srv_count,0.1503496503496503
dst_host_rerror_rate,0.1411905168002729
srv_rerror_rate & dst_host_rerror_rate,0.1410711239979532
dst_host_rerror_rate & dst_host_srv_rerror_rate,0.1407470578202285
srv_rerror_rate & dst_host_rerror_rate & dst_host_srv_rerror_rate,0.1407129455909943
dst_host_rerror_rate & rerror_rate,0.1403377110694184
srv_rerror_rate & dst_host_rerror_rate & rerror_rate,0.1402865427255671
dst_host_rerror_rate & dst_host_srv_rerror_rate & rerror_rate,0.1399624765478424
srv_rerror_rate & dst_host_rerror_rate & dst_host_srv_rerror_rate & rerror_rate,0.1399283643186082
dst_host_same_src_port_rate,0.1326624594917277
same_srv_rate & count,0.1206890670305304
count,0.1206890670305304
dst_host_same_src_port_rate & same_srv_rate,0.1197509807265904
dst_host_same_srv_rate,0.1177895275456251
same_srv_rate & dst_host_same_srv_rate,0.1169196657001535
dst_host_srv_count,0.1151458297799761
dst_host_srv_count & srv_count,0.1011939280231963
dst_host_same_src_port_rate & dst_host_same_srv_rate,0.0992665870714651
dst_host_same_src_port_rate & same_srv_rate & dst_host_same_srv_rate,0.0989766331229745
dst_host_same_src_port_rate & count,0.0811871055773494
dst_host_same_src_port_rate & same_srv_rate & count,0.0811871055773494
count & dst_host_same_srv_rate,0.0784240150093808
count & same_srv_rate & dst_host_same_srv_rate,0.0784240150093808
count & dst_host_same_src_port_rate & same_srv_rate & dst_host_same_srv_rate,0.0765819546307351
count & dst_host_same_src_port_rate & dst_host_same_srv_rate,0.0765819546307351
srv_rerror_rate & srv_count,0.0746205014497697
srv_rerror_rate & srv_count & dst_host_srv_rerror_rate,0.0732048439365512
srv_count & dst_host_srv_rerror_rate,0.0732048439365512
dst_host_srv_count & dst_host_srv_rerror_rate,0.069196657001535
dst_host_srv_count & srv_rerror_rate & dst_host_srv_rerror_rate,0.0691284325430666
dst_host_srv_count & srv_rerror_rate,0.0691284325430666
dst_host_srv_count & srv_count & dst_host_srv_rerror_rate,0.0682756268122121
dst_host_srv_count & srv_rerror_rate & srv_count & dst_host_srv_rerror_rate,0.0682756268122121
dst_host_srv_count & srv_rerror_rate & srv_count,0.0682756268122121
srv_diff_host_rate,0.0606174313491386
same_srv_rate & srv_diff_host_rate,0.060310421286031
same_srv_rate & count & srv_diff_host_rate,0.060310421286031
count & srv_diff_host_rate,0.060310421286031
dst_host_same_srv_rate & srv_diff_host_rate,0.0600545795667746
same_srv_rate & dst_host_same_srv_rate & srv_diff_host_rate,0.0599863551083063
count & same_srv_rate & dst_host_same_srv_rate & srv_diff_host_rate,0.0599863551083063
count & dst_host_same_srv_rate & srv_diff_host_rate,0.0599863551083063
dst_host_same_src_port_rate & srv_diff_host_rate,0.0596622889305816
dst_host_same_src_port_rate & dst_host_same_srv_rate & srv_diff_host_rate,0.0596452328159645
dst_host_same_src_port_rate & count & srv_diff_host_rate,0.0595770083574961
