rule,normalized_support
src_bytes,0.04134402183182671
logged_in,0.034026948661095
logged_in & same_srv_rate,0.03285007675251578
count,0.12068906703053045
count & srv_count,0.05940644721132526
count & srv_count & same_srv_rate,0.05940644721132526
count & same_srv_rate,0.12068906703053045
count & dst_host_same_src_port_rate,0.08118710557734948
count & dst_host_same_src_port_rate & same_srv_rate,0.08118710557734948
srv_count,0.15034965034965034
srv_count & serror_rate,0.03924611973392461
srv_count & serror_rate & srv_serror_rate,0.03924611973392461
srv_count & serror_rate & dst_host_srv_serror_rate,0.038683267951560636
srv_count & serror_rate & dst_host_srv_serror_rate & srv_serror_rate,0.038683267951560636
srv_count & srv_serror_rate,0.04212860310421286
srv_count & rerror_rate,0.0411905168002729
srv_count & rerror_rate & srv_rerror_rate,0.041173460685655805
srv_count & rerror_rate & dst_host_srv_rerror_rate,0.0397919154016715
srv_count & rerror_rate & dst_host_srv_rerror_rate & srv_rerror_rate,0.0397919154016715
srv_count & srv_rerror_rate,0.07462050144976974
srv_count & same_srv_rate,0.05940644721132526
srv_count & dst_host_serror_rate,0.03501620330888624
srv_count & dst_host_serror_rate & serror_rate,0.034453351526522256
srv_count & dst_host_serror_rate & serror_rate & srv_serror_rate,0.034453351526522256
srv_count & dst_host_serror_rate & serror_rate & dst_host_srv_serror_rate,0.034231622036500084
srv_count & dst_host_serror_rate & serror_rate & dst_host_srv_serror_rate & srv_serror_rate,0.034231622036500084
srv_count & dst_host_serror_rate & srv_serror_rate,0.03501620330888624
srv_count & dst_host_serror_rate & dst_host_srv_serror_rate,0.03477741770424697
srv_count & dst_host_serror_rate & dst_host_srv_serror_rate & srv_serror_rate,0.03477741770424697
srv_count & dst_host_srv_serror_rate,0.04149752686338052
srv_count & dst_host_srv_serror_rate & srv_serror_rate,0.04149752686338052
srv_count & dst_host_srv_rerror_rate,0.07320484393655126
srv_count & dst_host_srv_rerror_rate & srv_rerror_rate,0.07320484393655126
serror_rate,0.580521917107283
serror_rate & srv_serror_rate,0.5773835920177384
