rule,normalized_support
duration,0.02447173425597315
duration & logged_in,0.022912552158353503
duration & logged_in & same_srv_rate,0.022036440313024368
duration & count,0.02236312608585896
duration & count & logged_in,0.02138306876735518
duration & count & logged_in & same_srv_rate,0.02138306876735518
duration & count & same_srv_rate,0.02236312608585896
duration & same_srv_rate,0.023268936637809424
logged_in,0.7106455013884145
logged_in & same_srv_rate,0.6969989456959149
count,0.3071885719376921
count & logged_in,0.20986591033960472
count & logged_in & same_srv_rate,0.20986591033960472
count & same_srv_rate,0.3071885719376921
count & dst_host_same_srv_rate,0.1148151997980488
count & dst_host_same_srv_rate & logged_in,0.0730736676417742
count & dst_host_same_srv_rate & logged_in & same_srv_rate,0.0730736676417742
count & dst_host_same_srv_rate & same_srv_rate,0.1148151997980488
srv_count,0.24624682595072986
srv_count & logged_in,0.14801835380069198
srv_count & logged_in & same_srv_rate,0.1381732325557222
srv_count & count,0.21571655554400607
srv_count & count & logged_in,0.1381732325557222
srv_count & count & logged_in & same_srv_rate,0.1381732325557222
srv_count & count & same_srv_rate,0.21571655554400607
srv_count & count & dst_host_same_srv_rate,0.07418736914007396
srv_count & count & dst_host_same_srv_rate & logged_in,0.04248399982180776
srv_count & count & dst_host_same_srv_rate & logged_in & same_srv_rate,0.04248399982180776
srv_count & count & dst_host_same_srv_rate & same_srv_rate,0.07418736914007396
srv_count & same_srv_rate,0.21571655554400607
srv_count & dst_host_same_srv_rate,0.07439526008642323
srv_count & dst_host_same_srv_rate & logged_in,0.04263249335491439
srv_count & dst_host_same_srv_rate & logged_in & same_srv_rate,0.04248399982180776
srv_count & dst_host_same_srv_rate & same_srv_rate,0.07418736914007396
rerror_rate,0.04135544897019735
rerror_rate & count,0.03982596557919903
rerror_rate & count & same_srv_rate,0.03982596557919903
rerror_rate & count & dst_host_same_srv_rate,0.03399016972810834
rerror_rate & count & dst_host_same_srv_rate & same_srv_rate,0.03399016972810834
rerror_rate & srv_count,0.029936296274297253
rerror_rate & srv_count & count,0.029936296274297253
rerror_rate & srv_count & count & same_srv_rate,0.029936296274297253
rerror_rate & srv_count & count & dst_host_same_srv_rate,0.024753871968875754
rerror_rate & srv_count & count & dst_host_same_srv_rate & same_srv_rate,0.024753871968875754
rerror_rate & srv_count & same_srv_rate,0.029936296274297253
rerror_rate & srv_count & dst_host_same_srv_rate,0.024753871968875754
rerror_rate & srv_count & dst_host_same_srv_rate & same_srv_rate,0.024753871968875754
rerror_rate & same_srv_rate,0.041325750263576023
rerror_rate & dst_host_same_srv_rate,0.035029624459854775
rerror_rate & dst_host_same_srv_rate & same_srv_rate,0.035029624459854775
srv_rerror_rate,0.04076147483777082
srv_rerror_rate & count,0.03856377054779264
srv_rerror_rate & count & same_srv_rate,0.03856377054779264
srv_rerror_rate & count & dst_host_same_srv_rate,0.0328319201698766
srv_rerror_rate & count & dst_host_same_srv_rate & same_srv_rate,0.0328319201698766
srv_rerror_rate & srv_count,0.03063421587989843
srv_rerror_rate & srv_count & count,0.029936296274297253
srv_rerror_rate & srv_count & count & same_srv_rate,0.029936296274297253
srv_rerror_rate & srv_count & count & dst_host_same_srv_rate,0.024753871968875754
srv_rerror_rate & srv_count & count & dst_host_same_srv_rate & same_srv_rate,0.024753871968875754
srv_rerror_rate & srv_count & same_srv_rate,0.029936296274297253
srv_rerror_rate & srv_count & dst_host_same_srv_rate,0.024753871968875754
srv_rerror_rate & srv_count & dst_host_same_srv_rate & same_srv_rate,0.024753871968875754
srv_rerror_rate & rerror_rate,0.03997445911230566
srv_rerror_rate & rerror_rate & count,0.03856377054779264
srv_rerror_rate & rerror_rate & count & same_srv_rate,0.03856377054779264
