rule,normalized_support,coverage,h_value,ch_value,oh_value,normalized_coverage
BMIcp >= 26.35,0.75,0.943661971830986,0.4213836477987421,0.3976437239790947,0.3160377358490566,0.036941738650983276
Glucosecp >= 99.5,1.0,0.943661971830986,0.4360086767895879,0.4114448076746815,0.4360086767895879,0.036941738650983276
BMIcp >= 26.35 & Glucosecp >= 99.5,0.75,0.8873239436619719,0.5026595744680851,0.4460218759364698,0.3769946808510638,0.03473626171659622
BMIcp >= 30.25,0.5,0.7934272300469484,0.4707520891364902,0.3735075261223796,0.2353760445682451,0.03106046682595111
Glucosecp >= 116.5,0.75,0.7652582159624414,0.5174603174603175,0.3959907593710411,0.3880952380952381,0.029957728358757582
BMIcp >= 30.25 & Glucosecp >= 99.5,0.5,0.7417840375586855,0.5524475524475524,0.4097967759939591,0.2762237762237762,0.029038779636096308
Pregnanciescp >= 1.5,1.0,0.7370892018779343,0.3857493857493858,0.2843317068669181,0.3857493857493858,0.02885498989156405
Glucosecp >= 116.5 & BMIcp >= 26.35,0.5,0.7136150234741784,0.5650557620817844,0.4032322809222123,0.2825278810408922,0.027936041168902775
Pregnanciescp >= 1.5 & Glucosecp >= 99.5,1.0,0.6901408450704225,0.4681528662420382,0.3230914147304207,0.4681528662420382,0.027017092446241498
BMIcp >= 26.35 & Pregnanciescp >= 1.5,0.75,0.6854460093896714,0.453416149068323,0.3107922899717144,0.3400621118012422,0.026833302701709246
BloodPressurecp >= 69.0,0.5,0.6807511737089202,0.4027777777777778,0.2741914449660929,0.2013888888888889,0.02664951295717699
Pregnanciescp >= 2.5,1.0,0.6713615023474179,0.4307228915662651,0.2891707675773517,0.4307228915662651,0.02628193346811248
SkinThicknesscp >= 13.5,0.75,0.6619718309859155,0.3430656934306569,0.2270998252287447,0.2572992700729927,0.02591435397904797
BloodPressurecp >= 69.0 & Glucosecp >= 99.5,0.5,0.6525821596244131,0.4744027303754266,0.309586758320114,0.2372013651877133,0.025546774489983458
BMIcp >= 26.35 & SkinThicknesscp >= 13.5,0.5,0.6431924882629108,0.3994169096209912,0.2569019559534075,0.1997084548104956,0.025179195000918947
BloodPressurecp >= 69.0 & BMIcp >= 26.35,0.5,0.6431924882629108,0.4551495016611295,0.2927487405050457,0.2275747508305647,0.025179195000918947
BMIcp >= 26.35 & Pregnanciescp >= 1.5 & Glucosecp >= 99.5,0.75,0.6384976525821596,0.5271317829457365,0.3365724060123012,0.3953488372093023,0.024995405256386695
Pregnanciescp >= 2.5 & Glucosecp >= 99.5,1.0,0.6338028169014085,0.5056179775280899,0.3204620984332964,0.5056179775280899,0.02481161551185444
Agecp >= 31.5,0.75,0.6291079812206573,0.5214007782101168,0.3280173909866462,0.3910505836575876,0.024627825767322184
BMIcp >= 26.35 & Pregnanciescp >= 2.5,0.75,0.6197183098591549,0.4943820224719101,0.3063775913910428,0.3707865168539326,0.024260246278257673
Glucosecp >= 128.5,0.75,0.6150234741784038,0.6150234741784038,0.3782538737904736,0.4612676056338028,0.024076456533725418
BMIcp >= 30.25 & Glucosecp >= 116.5,0.5,0.6150234741784038,0.6150234741784038,0.3782538737904736,0.3075117370892019,0.024076456533725418
BloodPressurecp >= 69.0 & BMIcp >= 26.35 & Glucosecp >= 99.5,0.5,0.6150234741784038,0.5261044176706827,0.3235665667364292,0.2630522088353413,0.024076456533725418
SkinThicknesscp >= 13.5 & Glucosecp >= 99.5,0.75,0.6103286384976526,0.429042904290429,0.2618571716326562,0.3217821782178217,0.023892666789193166
Agecp >= 31.5 & Glucosecp >= 99.5,0.75,0.596244131455399,0.5906976744186047,0.352200021836445,0.4430232558139535,0.023341297555596396
BMIcp >= 26.35 & SkinThicknesscp >= 13.5 & Glucosecp >= 99.5,0.5,0.5915492957746479,0.4790874524714829,0.2834038451239757,0.2395437262357414,0.023157507811064144
BMIcp >= 26.35 & Agecp >= 31.5,0.5,0.5821596244131455,0.5821596244131455,0.3389098282968546,0.2910798122065727,0.022789928321999633
BMIcp >= 26.35 & Pregnanciescp >= 2.5 & Glucosecp >= 99.5,0.75,0.5821596244131455,0.5636363636363636,0.3281263337601365,0.4227272727272727,0.022789928321999633
Glucosecp >= 128.5 & BMIcp >= 26.35,0.5,0.568075117370892,0.654054054054054,0.3715518335236645,0.327027027027027,0.022238559088402866
BMIcp >= 26.35 & Glucosecp >= 128.5,0.5,0.568075117370892,0.654054054054054,0.3715518335236645,0.327027027027027,0.022238559088402866
BMIcp >= 30.25 & Pregnanciescp >= 1.5,0.5,0.5586854460093896,0.4937759336099585,0.2758654276975824,0.2468879668049792,0.021870979599338355
BMIcp >= 26.35 & Agecp >= 31.5 & Glucosecp >= 99.5,0.5,0.5492957746478874,0.65,0.3570422535211268,0.325,0.021503400110273848
Glucosecp >= 116.5 & Pregnanciescp >= 1.5,0.75,0.539906103286385,0.5251141552511416,0.2835123373421656,0.3938356164383562,0.021135820621209337
BloodPressurecp >= 69.0 & Pregnanciescp >= 1.5,0.5,0.5258215962441315,0.4426877470355731,0.2327747777839633,0.2213438735177865,0.020584451387612574
BMIcp >= 30.25 & Pregnanciescp >= 1.5 & Glucosecp >= 99.5,0.5,0.5164319248826291,0.5670103092783505,0.2928222254489134,0.2835051546391752,0.020216871898548063
Agecp >= 31.5 & Pregnanciescp >= 1.5,0.75,0.5117370892018779,0.5023041474654378,0.257047662317994,0.3767281105990784,0.020033082154015804
Glucosecp >= 116.5 & SkinThicknesscp >= 13.5,0.5,0.5070422535211268,0.5242718446601942,0.2658279775741829,0.2621359223300971,0.019849292409483552
BMIcp >= 30.25 & Glucosecp >= 128.5,0.5,0.5070422535211268,0.7248322147651006,0.3675205595992059,0.3624161073825503,0.019849292409483552
BMIcp >= 30.25 & Pregnanciescp >= 2.5,0.5,0.5070422535211268,0.5320197044334976,0.2697564698536044,0.2660098522167488,0.019849292409483552
BloodPressurecp >= 69.0 & Pregnanciescp >= 1.5 & Glucosecp >= 99.5,0.5,0.5023474178403756,0.5144230769230769,0.2584191043698086,0.2572115384615384,0.019665502664951297
