rule,normalized_support,coverage,h_value,ch_value,oh_value,normalized_ch_value
thalachcp >= 110.0 & exangcp < 0.5 & oldpeakcp < 2.3499999999999996,0.8333333333333334,0.8571428571428571,0.7702702702702703,0.6602316602316602,0.6418918918918919,0.015453821177147749
thalachcp >= 110.0 & thalcp < 2.5 & oldpeakcp < 2.3499999999999996,1.0,0.8195488721804511,0.7956204379562044,0.6520498326107239,0.7956204379562044,0.015262311880377835
thalachcp >= 110.0 & oldpeakcp < 2.3499999999999996,1.0,0.9849624060150376,0.6616161616161617,0.6516670464038885,0.6616161616161617,0.01525335213193524
exangcp < 0.5 & oldpeakcp < 2.3499999999999996,0.8333333333333334,0.8646616541353384,0.7467532467532467,0.6456888975685968,0.6222943722943723,0.015113423605880376
thalcp >= 1.5 & thalachcp >= 110.0 & thalcp < 2.5 & oldpeakcp < 2.3499999999999996,1.0,0.7819548872180451,0.8253968253968254,0.645423081513307,0.8253968253968254,0.015107201738569404
thalcp >= 1.5 & thalachcp >= 110.0 & exangcp < 0.5 & oldpeakcp < 2.3499999999999996,0.8333333333333334,0.8270676691729323,0.7801418439716312,0.6452300965178904,0.6501182033096927,0.015102684603465654
cacp < 0.5 & oldpeakcp < 2.3499999999999996,0.5,0.7969924812030075,0.803030303030303,0.6400091136933241,0.4015151515151515,0.014980478808439864
thalcp >= 1.5 & thalachcp >= 110.0 & oldpeakcp < 2.3499999999999996,1.0,0.9473684210526316,0.6737967914438503,0.6383338024204898,0.6737967914438503,0.014941265359000984
thalcp >= 1.5 & exangcp < 0.5 & oldpeakcp < 2.3499999999999996,0.8333333333333334,0.8345864661654135,0.7602739726027398,0.634514368112061,0.6335616438356165,0.014851865140326811
thalcp >= 1.5 & thalcp < 2.5 & oldpeakcp < 2.3499999999999996,1.0,0.7894736842105263,0.8015267175572519,0.6327842507030936,0.8015267175572519,0.014811368862029176
thalachcp >= 110.0 & cacp < 0.5 & oldpeakcp < 2.3499999999999996,0.5,0.7894736842105263,0.8015267175572519,0.6327842507030936,0.4007633587786259,0.014811368862029176
thalcp < 2.5 & oldpeakcp < 2.3499999999999996,1.0,0.8270676691729323,0.7638888888888888,0.6317878028404343,0.7638888888888888,0.014788045340893452
thalcp >= 1.5 & thalachcp >= 110.0 & thalcp < 2.5,1.0,0.7894736842105263,0.7954545454545454,0.6279904306220095,0.7954545454545454,0.014699161522165318
thalachcp >= 110.0 & thalcp < 2.5,1.0,0.8270676691729323,0.7586206896551724,0.6274306455794658,0.7586206896551724,0.014686058821301083
thalachcp >= 110.0 & exangcp < 0.5,0.8333333333333334,0.8646616541353384,0.7232704402515723,0.6253842152551189,0.6027253668763103,0.014638158712613697
thalachcp >= 110.0 & agecp >= 37.5 & oldpeakcp < 2.3499999999999996,1.0,0.9473684210526316,0.6596858638743456,0.62496555524938,0.6596858638743456,0.014628359278184209
thalachcp >= 110.0 & agecp >= 37.5 & exangcp < 0.5 & oldpeakcp < 2.3499999999999996,0.8333333333333334,0.8195488721804511,0.7622377622377622,0.6246910983753089,0.6351981351981352,0.01462193515812422
oldpeakcp < 2.3499999999999996,1.0,0.9924812030075189,0.6255924170616114,0.6208887146776895,0.6255924170616114,0.014532934037382305
cacp < 0.5 & exangcp < 0.5 & oldpeakcp < 2.3499999999999996,0.5,0.6992481203007519,0.8857142857142857,0.6193340494092374,0.4428571428571428,0.014496544508530341
thalachcp >= 110.0 & exangcp < 0.5 & thalcp < 2.5 & oldpeakcp < 2.3499999999999996,0.8333333333333334,0.7218045112781954,0.8571428571428571,0.618689581095596,0.7142857142857143,0.014481459654723333
thalachcp >= 110.0 & agecp >= 37.5 & thalcp < 2.5 & oldpeakcp < 2.3499999999999996,1.0,0.7819548872180451,0.7878787878787878,0.6160856687172476,0.7878787878787878,0.014420510750452612
exangcp < 0.5 & thalcp < 2.5 & oldpeakcp < 2.3499999999999996,0.8333333333333334,0.7293233082706767,0.8434782608695652,0.6151683556717882,0.7028985507246377,0.014399039511458985
cacp < 0.5 & exangcp < 0.5,0.5,0.706766917293233,0.8703703703703703,0.6151489835700361,0.4351851851851852,0.01439858607516634
cacp < 0.5 & thalcp < 2.5 & oldpeakcp < 2.3499999999999996,0.5,0.6691729323308271,0.9175257731958762,0.6139834121385939,0.4587628865979381,0.014371303935342297
agecp >= 37.5 & cacp < 0.5 & oldpeakcp < 2.3499999999999996,0.5,0.7593984962406015,0.808,0.613593984962406,0.404,0.014362188743955962
thalcp >= 1.5 & thalachcp >= 110.0 & exangcp < 0.5,0.8333333333333334,0.8345864661654135,0.7350993377483444,0.6135039585719265,0.6125827814569537,0.014360081526408707
thalcp >= 1.5 & oldpeakcp < 2.3499999999999996,1.0,0.9548872180451128,0.6414141414141414,0.6124781651097441,0.6414141414141414,0.014336071122660887
thalcp >= 1.5 & thalcp < 2.5,1.0,0.7969924812030075,0.7681159420289855,0.6121826304892666,0.7681159420289855,0.014329153642855521
thalachcp >= 110.0 & cacp < 0.5 & exangcp < 0.5 & oldpeakcp < 2.3499999999999996,0.5,0.6917293233082706,0.8846153846153846,0.6119144013880855,0.4423076923076923,0.01432287529418817
thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5 & oldpeakcp < 2.3499999999999996,1.0,0.9097744360902256,0.6722222222222223,0.6115705931495405,0.6722222222222223,0.014314827889984864
agecp >= 37.5 & exangcp < 0.5 & oldpeakcp < 2.3499999999999996,0.8333333333333334,0.8270676691729323,0.738255033557047,0.6105868698592118,0.6152125279642059,0.014291802208648709
thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5 & exangcp < 0.5 & oldpeakcp < 2.3499999999999996,0.8333333333333334,0.7894736842105263,0.7720588235294118,0.6095201238390093,0.6433823529411765,0.014266833242101633
exangcp < 0.5,0.8333333333333334,0.8721804511278195,0.6987951807228916,0.6094754959688378,0.5823293172690763,0.014265788652502725
comcp >= 0.5 & thalachcp >= 110.0 & oldpeakcp < 2.3499999999999996,0.8333333333333334,0.7443609022556391,0.8181818181818182,0.6090225563909775,0.6818181818181819,0.014255186847618284
thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5 & thalcp < 2.5 & oldpeakcp < 2.3499999999999996,1.0,0.7443609022556391,0.8181818181818182,0.6090225563909775,0.8181818181818182,0.014255186847618284
thalcp >= 1.5 & cacp < 0.5 & oldpeakcp < 2.3499999999999996,0.5,0.7593984962406015,0.8015873015873016,0.6087241914309584,0.4007936507936508,0.014248203119003931
thalachcp >= 110.0 & cacp < 0.5 & exangcp < 0.5,0.5,0.6992481203007519,0.8691588785046729,0.6077577120371022,0.4345794392523364,0.014225581059772764
thalcp >= 1.5 & exangcp < 0.5 & thalcp < 2.5 & oldpeakcp < 2.3499999999999996,0.8333333333333334,0.6992481203007519,0.8691588785046729,0.6077577120371022,0.7242990654205608,0.014225581059772764
thalachcp >= 110.0 & cacp < 0.5 & thalcp < 2.5 & oldpeakcp < 2.3499999999999996,0.5,0.6616541353383458,0.9166666666666666,0.606516290726817,0.4583333333333333,0.014196523527257714
thalachcp >= 110.0 & agecp >= 37.5 & cacp < 0.5 & oldpeakcp < 2.3499999999999996,0.5,0.7518796992481203,0.8064516129032258,0.6063545961678389,0.4032258064516129,0.014192738796911871
comcp >= 0.5 & oldpeakcp < 2.3499999999999996,0.8333333333333334,0.7518796992481203,0.8064516129032258,0.6063545961678389,0.6720430107526881,0.014192738796911871
thalcp >= 1.5 & thalachcp >= 110.0 & exangcp < 0.5 & thalcp < 2.5 & oldpeakcp < 2.3499999999999996,0.8333333333333334,0.6917293233082706,0.8761904761904762,0.6060866451843895,0.7301587301587302,0.014186466958053045
thalcp < 2.5,1.0,0.8345864661654135,0.7254901960784313,0.605484298982751,0.7254901960784313,0.014172368042403363
comcp >= 0.5 & thalcp >= 1.5 & thalachcp >= 110.0 & oldpeakcp < 2.3499999999999996,0.8333333333333334,0.7218045112781954,0.8347826086956521,0.6025498528931023,0.6956521739130435,0.014103682446339248
thalcp >= 1.5 & thalachcp >= 110.0 & cacp < 0.5 & oldpeakcp < 2.3499999999999996,0.5,0.7518796992481203,0.8,0.6015037593984962,0.4,0.014079196886536575
thalcp >= 1.5 & exangcp < 0.5,0.8333333333333334,0.8421052631578947,0.7133757961783439,0.600737512571237,0.5944798301486199,0.014061261603878567
thalachcp >= 110.0 & exangcp < 0.5 & thalcp < 2.5,0.8333333333333334,0.7293233082706767,0.8220338983050848,0.5995284822225054,0.6850282485875707,0.014032962235743926
comcp >= 0.5 & thalcp >= 1.5 & oldpeakcp < 2.3499999999999996,0.8333333333333334,0.7293233082706767,0.8220338983050848,0.5995284822225054,0.6850282485875707,0.014032962235743926
thalcp >= 1.5 & agecp >= 37.5 & exangcp < 0.5 & oldpeakcp < 2.3499999999999996,0.8333333333333334,0.7969924812030075,0.75177304964539,0.5991574681384312,0.6264775413711584,0.014024278033433065
cacp < 0.5,0.5,0.8045112781954887,0.7430555555555556,0.597796574770259,0.3715277777777778,0.013992424058503237
cacp < 0.5 & thalcp < 2.5,0.5,0.6766917293233082,0.8823529411764706,0.5970809376382131,0.4411764705882353,0.013975673380017924
thalachcp >= 110.0 & fbscp < 0.5 & thalcp < 2.5 & oldpeakcp < 2.3499999999999996,0.8333333333333334,0.7368421052631579,0.8099173553719008,0.5967812092214005,0.6749311294765841,0.013968657737427405
thalcp >= 1.5 & agecp >= 37.5 & thalcp < 2.5 & oldpeakcp < 2.3499999999999996,1.0,0.7518796992481203,0.7936507936507936,0.5967299200381907,0.7936507936507936,0.01396745722870692
