rule,normalized_support,coverage,h_value,ch_value,oh_value,normalized_oh_value
comcp >= 0.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.8333333333333334,0.7293233082706767,0.7886178861788617,0.5751574057093954,0.6571815718157181,0.01903096145033573
comcp >= 0.5 & thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5,0.8333333333333334,0.6917293233082706,0.7796610169491526,0.5393143876640755,0.6497175141242938,0.018814813888869398
comcp >= 0.5 & thalcp >= 1.5,0.8333333333333334,0.7368421052631579,0.7777777777777778,0.5730994152046783,0.6481481481481481,0.01876936747850981
comcp >= 0.5 & thalachcp >= 110.0,0.8333333333333334,0.7518796992481203,0.7751937984496124,0.5828524800373026,0.6459948320413438,0.0187070107759234
comcp >= 0.5 & thalcp >= 1.5 & agecp >= 37.5,0.8333333333333334,0.6992481203007519,0.768595041322314,0.5374386379171068,0.640495867768595,0.018547769279235786
comcp >= 0.5 & thalachcp >= 110.0 & agecp >= 37.5,0.8333333333333334,0.7142857142857143,0.7661290322580645,0.5472350230414746,0.6384408602150538,0.018488259440237197
comcp >= 0.5,0.8333333333333334,0.7593984962406015,0.7651515151515151,0.5810549100022784,0.6376262626262627,0.018464669954508028
comcp >= 0.5 & agecp >= 37.5,0.8333333333333334,0.7218045112781954,0.7559055118110236,0.54561600852525,0.6299212598425197,0.018241544995987038
thalcp >= 1.5 & thalachcp >= 110.0,1.0,0.9548872180451128,0.5906976744186047,0.5640496590312992,0.5906976744186047,0.017105690653504358
thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5,1.0,0.9097744360902256,0.5845410628019324,0.5318005157822092,0.5845410628019324,0.01692740470732686
thalachcp >= 110.0,1.0,0.9924812030075189,0.5789473684210527,0.5745943806885635,0.5789473684210527,0.016765419973285456
thalachcp >= 110.0 & agecp >= 37.5,1.0,0.9473684210526316,0.5727272727272728,0.5425837320574163,0.5727272727272728,0.016585295626465033
thalcp >= 1.5,1.0,0.962406015037594,0.5638766519823789,0.5426782816071015,0.5638766519823789,0.016328995344425404
thalcp >= 1.5 & agecp >= 37.5,1.0,0.9172932330827068,0.5570776255707762,0.5110035362378549,0.5570776255707762,0.016132106059807257
agecp >= 37.5,1.0,0.9548872180451128,0.5427350427350427,0.5182507550928603,0.5427350427350427,0.01571676705343349
cholcp >= 231.5 & comcp >= 0.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.6666666666666666,0.4135338345864661,0.7857142857142857,0.3249194414607948,0.5238095238095237,0.015168713309163029
cholcp >= 231.5 & comcp >= 0.5 & thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5,0.6666666666666666,0.4060150375939849,0.782608695652174,0.3177508989865969,0.5217391304347826,0.015108757920589263
cholcp >= 231.5 & comcp >= 0.5 & thalachcp >= 110.0,0.6666666666666666,0.4210526315789473,0.7671232876712328,0.3229992790194664,0.5114155251141552,0.01480980228441322
cholcp >= 231.5 & comcp >= 0.5 & thalachcp >= 110.0 & agecp >= 37.5,0.6666666666666666,0.4135338345864661,0.7638888888888888,0.3158939014202171,0.5092592592592592,0.014747360161686278
