rule,normalized_support,coverage,h_value,ch_value,oh_value,normalized_ch_value
comcp >= 0.5 & thalachcp >= 110.0,0.7518796992481203,0.7518796992481203,0.7751937984496124,0.5828524800373026,0.5828524800373026,0.022673791844030667
comcp >= 0.5,0.7593984962406015,0.7593984962406015,0.7651515151515151,0.5810549100022784,0.5810549100022784,0.022603863808729866
comcp >= 0.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.7293233082706767,0.7293233082706767,0.7886178861788617,0.5751574057093954,0.5751574057093954,0.02237444248975813
thalachcp >= 110.0,0.9924812030075189,0.9924812030075189,0.5789473684210527,0.5745943806885635,0.5745943806885636,0.022352540014324712
comcp >= 0.5 & thalcp >= 1.5,0.7368421052631579,0.7368421052631579,0.7777777777777778,0.5730994152046783,0.5730994152046783,0.02229438372717388
thalcp >= 1.5 & thalachcp >= 110.0,0.9548872180451128,0.9548872180451128,0.5906976744186047,0.5640496590312992,0.5640496590312992,0.021942335319142237
comcp >= 0.5 & agecp >= 37.5 & thalachcp >= 110.0,0.7142857142857143,0.7142857142857143,0.7661290322580645,0.5472350230414746,0.5472350230414746,0.021288222023884355
comcp >= 0.5 & agecp >= 37.5,0.7218045112781954,0.7218045112781954,0.7559055118110236,0.54561600852525,0.54561600852525,0.02122524005264698
thalcp >= 1.5,0.962406015037594,0.962406015037594,0.5638766519823789,0.5426782816071015,0.5426782816071015,0.021110958290248987
agecp >= 37.5 & thalachcp >= 110.0,0.9473684210526316,0.9473684210526316,0.5727272727272728,0.5425837320574163,0.5425837320574163,0.021107280178064625
comcp >= 0.5 & agecp >= 37.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.6917293233082706,0.6917293233082706,0.7796610169491526,0.5393143876640755,0.5393143876640755,0.02098009802343724
comcp >= 0.5 & agecp >= 37.5 & thalcp >= 1.5,0.6992481203007519,0.6992481203007519,0.768595041322314,0.5374386379171068,0.5374386379171068,0.020907128685961764
agecp >= 37.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.9097744360902256,0.9097744360902256,0.5845410628019324,0.5318005157822092,0.5318005157822092,0.02068779770246881
agecp >= 37.5,0.9548872180451128,0.9548872180451128,0.5427350427350427,0.5182507550928603,0.5182507550928603,0.02016069270775889
agecp >= 37.5 & thalcp >= 1.5,0.9172932330827068,0.9172932330827068,0.5570776255707762,0.5110035362378549,0.5110035362378549,0.019878765569427057
comcp >= 1.5,0.518796992481203,0.518796992481203,0.7582417582417582,0.3933735437494836,0.3933735437494836,0.015302791278084031
comcp >= 1.5 & thalachcp >= 110.0,0.5112781954887218,0.5112781954887218,0.7640449438202247,0.3906395201486863,0.3906395201486863,0.015196433864940352
comcp >= 1.5 & thalcp >= 1.5,0.4962406015037593,0.4962406015037593,0.7674418604651163,0.3808358104563735,0.3808358104563734,0.014815055590889635
comcp >= 1.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.4887218045112781,0.4887218045112781,0.7738095238095238,0.3781775868242034,0.3781775868242033,0.014711646904515253
thalachcp >= 160.5,0.5037593984962406,0.5037593984962406,0.7444444444444445,0.3750208855472013,0.3750208855472013,0.014588846727592355
comcp >= 1.5 & agecp >= 37.5,0.4962406015037593,0.4962406015037593,0.75,0.3721804511278195,0.3721804511278195,0.014478349782005778
comcp >= 1.5 & agecp >= 37.5 & thalachcp >= 110.0,0.4887218045112781,0.4887218045112781,0.7558139534883721,0.3693827592236405,0.3693827592236404,0.014369515581154433
thalachcp >= 160.5 & thalcp >= 1.5,0.4962406015037593,0.4962406015037593,0.7415730337078652,0.3679986483061586,0.3679986483061586,0.01431567169456751
comcp >= 1.5 & agecp >= 37.5 & thalcp >= 1.5,0.4736842105263157,0.4736842105263157,0.7590361445783133,0.3595434369055167,0.3595434369055167,0.013986751925223542
comcp >= 1.5 & agecp >= 37.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.4661654135338345,0.4661654135338345,0.7654320987654321,0.3568179708530585,0.3568179708530585,0.01388072741290191
thalachcp >= 160.5 & comcp >= 0.5,0.4135338345864661,0.4135338345864661,0.8461538461538461,0.3499132446500867,0.3499132446500866,0.0136121237266721
thalachcp >= 160.5 & comcp >= 0.5 & thalcp >= 1.5,0.4060150375939849,0.4060150375939849,0.84375,0.3425751879699248,0.3425751879699247,0.013326662867528047
thalachcp >= 160.5 & agecp >= 37.5,0.4586466165413533,0.4586466165413533,0.7261904761904762,0.3330648048693161,0.333064804869316,0.012956695415787279
thalachcp >= 160.5 & agecp >= 37.5 & thalcp >= 1.5,0.4511278195488721,0.4511278195488721,0.7228915662650602,0.3261164960594256,0.3261164960594256,0.012686396304057636
trestbpscp >= 129.0 & thalachcp >= 110.0,0.5488721804511278,0.5488721804511278,0.5934959349593496,0.3257534079100189,0.3257534079100189,0.012672271657766082
trestbpscp >= 129.0 & comcp >= 0.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.4135338345864661,0.4135338345864661,0.7857142857142857,0.3249194414607948,0.3249194414607947,0.01263982917476695
cholcp >= 231.5 & comcp >= 0.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.4135338345864661,0.4135338345864661,0.7857142857142857,0.3249194414607948,0.3249194414607947,0.01263982917476695
trestbpscp >= 129.0 & thalcp >= 1.5 & thalachcp >= 110.0,0.5338345864661654,0.5338345864661654,0.6068376068376068,0.3239509028982713,0.3239509028982713,0.012602151644840047
trestbpscp >= 129.0 & comcp >= 0.5 & thalachcp >= 110.0,0.4210526315789473,0.4210526315789473,0.7671232876712328,0.3229992790194664,0.3229992790194664,0.012565132120207587
cholcp >= 231.5 & comcp >= 0.5 & thalachcp >= 110.0,0.4210526315789473,0.4210526315789473,0.7671232876712328,0.3229992790194664,0.3229992790194664,0.012565132120207587
trestbpscp >= 129.0 & comcp >= 0.5 & thalcp >= 1.5,0.4135338345864661,0.4135338345864661,0.7746478873239436,0.3203431112993751,0.3203431112993751,0.01246180341174206
trestbpscp >= 129.0 & comcp >= 0.5,0.4210526315789473,0.4210526315789473,0.7567567567567568,0.3186344238975818,0.3186344238975817,0.012395333037502081
cholcp >= 231.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.5488721804511278,0.5488721804511278,0.5793650793650794,0.3179973743883518,0.3179973743883518,0.012370550904009747
cholcp >= 231.5 & comcp >= 0.5 & agecp >= 37.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.4060150375939849,0.4060150375939849,0.782608695652174,0.3177508989865969,0.3177508989865968,0.01236096265973616
cholcp >= 231.5 & comcp >= 0.5 & agecp >= 37.5 & thalachcp >= 110.0,0.4135338345864661,0.4135338345864661,0.7638888888888888,0.3158939014202171,0.3158939014202171,0.012288722808801198
cholcp >= 231.5 & comcp >= 0.5 & thalcp >= 1.5,0.4135338345864661,0.4135338345864661,0.7638888888888888,0.3158939014202171,0.3158939014202171,0.012288722808801198
cholcp >= 231.5 & comcp >= 0.5,0.4210526315789473,0.4210526315789473,0.7466666666666667,0.3143859649122807,0.3143859649122806,0.012230061930335387
cholcp >= 231.5 & agecp >= 37.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.5413533834586466,0.5413533834586466,0.5806451612903226,0.3143342226534077,0.3143342226534077,0.01222804908274975
thalachcp >= 160.5 & comcp >= 0.5 & agecp >= 37.5,0.3759398496240601,0.3759398496240601,0.8333333333333334,0.3132832080200501,0.31328320802005,0.01218716311616648
cholcp >= 231.5 & thalachcp >= 110.0,0.556390977443609,0.556390977443609,0.5606060606060606,0.3119161540214171,0.3119161540214171,0.012133982768023206
trestbpscp >= 129.0 & comcp >= 0.5 & agecp >= 37.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.3984962406015037,0.3984962406015037,0.7794117647058824,0.3105926581158779,0.3105926581158779,0.01208249689175705
trestbpscp >= 129.0 & comcp >= 0.5 & agecp >= 37.5 & thalachcp >= 110.0,0.4060150375939849,0.4060150375939849,0.7605633802816901,0.3088001694376787,0.3088001694376786,0.012012766528475986
cholcp >= 231.5 & comcp >= 0.5 & agecp >= 37.5 & thalcp >= 1.5,0.4060150375939849,0.4060150375939849,0.7605633802816901,0.3088001694376787,0.3088001694376786,0.012012766528475986
cholcp >= 231.5 & agecp >= 37.5 & thalachcp >= 110.0,0.5488721804511278,0.5488721804511278,0.5615384615384615,0.3082128397917871,0.3082128397917871,0.011989918568501753
trestbpscp >= 129.0 & thalcp >= 1.5,0.5338345864661654,0.5338345864661654,0.5772357723577236,0.3081484198300629,0.3081484198300629,0.011987412540213703
cholcp >= 231.5 & comcp >= 0.5 & agecp >= 37.5,0.4135338345864661,0.4135338345864661,0.7432432432432432,0.3073562284088599,0.3073562284088599,0.011956595165320084
trestbpscp >= 129.0 & agecp >= 37.5 & thalachcp >= 110.0,0.5263157894736842,0.5263157894736842,0.5833333333333334,0.3070175438596491,0.3070175438596491,0.011943419853843151
trestbpscp >= 129.0 & comcp >= 0.5 & agecp >= 37.5 & thalcp >= 1.5,0.3984962406015037,0.3984962406015037,0.7681159420289855,0.3060913152446333,0.3060913152446332,0.011907388241151876
thalachcp >= 160.5 & comcp >= 0.5 & agecp >= 37.5 & thalcp >= 1.5,0.3684210526315789,0.3684210526315789,0.8305084745762712,0.3059768064228367,0.3059768064228367,0.01190293368484707
trestbpscp >= 129.0,0.5488721804511278,0.5488721804511278,0.5572519083969466,0.3058600700223842,0.3058600700223842,0.011898392472558994
trestbpscp >= 129.0 & agecp >= 37.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.5112781954887218,0.5112781954887218,0.5964912280701754,0.3049729587125708,0.3049729587125708,0.01186388257876922
trestbpscp >= 129.0 & comcp >= 0.5 & agecp >= 37.5,0.4060150375939849,0.4060150375939849,0.75,0.3045112781954887,0.3045112781954887,0.011845922548913819
cholcp >= 231.5 & thalcp >= 1.5,0.5488721804511278,0.5488721804511278,0.5407407407407407,0.2967975494291284,0.2967975494291284,0.0115458475104091
cholcp >= 231.5 & agecp >= 37.5 & thalcp >= 1.5,0.5413533834586466,0.5413533834586466,0.5413533834586466,0.2930634857821244,0.2930634857821244,0.011400587114744124
cholcp >= 231.5,0.556390977443609,0.556390977443609,0.524822695035461,0.2920066122753692,0.2920066122753692,0.011359473229638747
trestbpscp >= 129.0 & agecp >= 37.5 & thalcp >= 1.5,0.5112781954887218,0.5112781954887218,0.5666666666666667,0.2897243107769423,0.2897243107769423,0.011270688449830759
cholcp >= 231.5 & agecp >= 37.5,0.5488721804511278,0.5488721804511278,0.5251798561151079,0.2882566127549088,0.2882566127549088,0.011213592905793008
trestbpscp >= 129.0 & agecp >= 37.5,0.5263157894736842,0.5263157894736842,0.546875,0.287828947368421,0.287828947368421,0.011196956112977954
