rule,normalized_support,coverage,h_value,ch_value,oh_value,normalized_oh_value
comcp >= 0.5 & thalachcp >= 110.0,0.7518796992481203,0.7518796992481203,0.7751937984496124,0.5828524800373026,0.5828524800373026,0.05722781265248281
comcp >= 0.5,0.7593984962406015,0.7593984962406015,0.7651515151515151,0.5810549100022784,0.5810549100022784,0.057051316875734115
comcp >= 0.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.7293233082706767,0.7293233082706767,0.7886178861788617,0.5751574057093954,0.5751574057093954,0.05647226594543917
thalachcp >= 110.0,0.9924812030075189,0.9924812030075189,0.5789473684210527,0.5745943806885635,0.5745943806885636,0.05641698490690132
comcp >= 0.5 & thalcp >= 1.5,0.7368421052631579,0.7368421052631579,0.7777777777777778,0.5730994152046783,0.5730994152046783,0.056270200587431256
thalcp >= 1.5 & thalachcp >= 110.0,0.9548872180451128,0.9548872180451128,0.5906976744186047,0.5640496590312992,0.5640496590312992,0.055381643416313714
comcp >= 0.5 & agecp >= 37.5 & thalachcp >= 110.0,0.7142857142857143,0.7142857142857143,0.7661290322580645,0.5472350230414746,0.5472350230414746,0.05373068563333612
comcp >= 0.5 & agecp >= 37.5,0.7218045112781954,0.7218045112781954,0.7559055118110236,0.54561600852525,0.54561600852525,0.05357172146557583
thalcp >= 1.5,0.962406015037594,0.962406015037594,0.5638766519823789,0.5426782816071015,0.5426782816071015,0.053283278520827274
agecp >= 37.5 & thalachcp >= 110.0,0.9473684210526316,0.9473684210526316,0.5727272727272728,0.5425837320574163,0.5425837320574163,0.053273995101607
comcp >= 0.5 & agecp >= 37.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.6917293233082706,0.6917293233082706,0.7796610169491526,0.5393143876640755,0.5393143876640755,0.05295299204363497
comcp >= 0.5 & agecp >= 37.5 & thalcp >= 1.5,0.6992481203007519,0.6992481203007519,0.768595041322314,0.5374386379171068,0.5374386379171068,0.05276882013259567
agecp >= 37.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.9097744360902256,0.9097744360902256,0.5845410628019324,0.5318005157822092,0.5318005157822092,0.052215236836137734
agecp >= 37.5,0.9548872180451128,0.9548872180451128,0.5427350427350427,0.5182507550928603,0.5182507550928603,0.05088484330986088
agecp >= 37.5 & thalcp >= 1.5,0.9172932330827068,0.9172932330827068,0.5570776255707762,0.5110035362378549,0.5110035362378549,0.05017326963197373
comcp >= 1.5,0.518796992481203,0.518796992481203,0.7582417582417582,0.3933735437494836,0.3933735437494836,0.038623679636222756
comcp >= 1.5 & thalachcp >= 110.0,0.5112781954887218,0.5112781954887218,0.7640449438202247,0.3906395201486863,0.3906395201486863,0.03835523745612964
comcp >= 1.5 & thalcp >= 1.5,0.4962406015037593,0.4962406015037593,0.7674418604651163,0.3808358104563735,0.3808358104563734,0.037392652787132254
comcp >= 1.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.4887218045112781,0.4887218045112781,0.7738095238095238,0.3781775868242034,0.3781775868242033,0.0371316530844279
thalachcp >= 160.5,0.5037593984962406,0.5037593984962406,0.7444444444444445,0.3750208855472013,0.3750208855472013,0.03682170997623599
