metric,num_rules,accuracy
ch_support,10,0.8360655737704918
ch_support,20,0.819672131147541
ch_support,30,0.8524590163934426
ch_support,40,0.8688524590163934
ch_support,50,0.8688524590163934
ch_support,60,0.8688524590163934
ch_support,70,0.8852459016393442
ch_support,80,0.8688524590163934
ch_support,90,0.8852459016393442
ch_support,100,0.8688524590163934
coverage,10,0.6229508196721312
coverage,20,0.7704918032786885
coverage,30,0.8032786885245902
coverage,40,0.8360655737704918
coverage,50,0.8360655737704918
coverage,60,0.8688524590163934
coverage,70,0.8688524590163934
coverage,80,0.8852459016393442
coverage,90,0.8688524590163934
coverage,100,0.8688524590163934
h_support,10,0.3114754098360656
h_support,20,0.3770491803278688
h_support,30,0.3934426229508196
h_support,40,0.5081967213114754
h_support,50,0.5081967213114754
h_support,60,0.5409836065573771
h_support,70,0.5409836065573771
h_support,80,0.5573770491803278
h_support,90,0.5573770491803278
h_support,100,0.5573770491803278
normalized_support,10,0.5737704918032787
normalized_support,20,0.639344262295082
normalized_support,30,0.7049180327868853
normalized_support,40,0.7213114754098361
normalized_support,50,0.6721311475409836
normalized_support,60,0.6721311475409836
normalized_support,70,0.7049180327868853
normalized_support,80,0.6885245901639344
normalized_support,90,0.6721311475409836
normalized_support,100,0.6885245901639344
oh_support,10,0.5245901639344263
oh_support,20,0.6885245901639344
oh_support,30,0.7377049180327869
oh_support,40,0.7377049180327869
oh_support,50,0.7540983606557377
oh_support,60,0.819672131147541
oh_support,70,0.8524590163934426
oh_support,80,0.8360655737704918
oh_support,90,0.8360655737704918
oh_support,100,0.8360655737704918
