rule,normalized_support,coverage,h_value,ch_value,oh_value,normalized_ch_value
thalachcp >= 110.0 & exangcp < 0.5 & oldpeakcp < 2.3499999999999996,0.8333333333333334,0.8571428571428571,0.7702702702702703,0.6602316602316602,0.6418918918918919,0.10242609523196772
thalachcp >= 110.0 & oldpeakcp < 2.3499999999999996 & thalcp < 2.5,1.0,0.8195488721804511,0.7956204379562044,0.6520498326107239,0.7956204379562044,0.10115679430995571
thalachcp >= 110.0 & oldpeakcp < 2.3499999999999996,1.0,0.9849624060150376,0.6616161616161617,0.6516670464038885,0.6616161616161617,0.10109741015915469
exangcp < 0.5 & oldpeakcp < 2.3499999999999996,0.8333333333333334,0.8646616541353384,0.7467532467532467,0.6456888975685968,0.6222943722943723,0.10016998047227839
thalcp >= 1.5 & thalachcp >= 110.0 & oldpeakcp < 2.3499999999999996 & thalcp < 2.5,1.0,0.7819548872180451,0.8253968253968254,0.645423081513307,0.8253968253968254,0.10012874267313415
thalcp >= 1.5 & thalachcp >= 110.0 & exangcp < 0.5 & oldpeakcp < 2.3499999999999996,0.8333333333333334,0.8270676691729323,0.7801418439716312,0.6452300965178904,0.6501182033096927,0.10009880363702076
cacp < 0.5 & oldpeakcp < 2.3499999999999996,0.5,0.7969924812030075,0.803030303030303,0.6400091136933241,0.4015151515151515,0.09928883811097214
thalcp >= 1.5 & thalachcp >= 110.0 & oldpeakcp < 2.3499999999999996,1.0,0.9473684210526316,0.6737967914438503,0.6383338024204898,0.6737967914438503,0.09902893601552534
thalcp >= 1.5 & exangcp < 0.5 & oldpeakcp < 2.3499999999999996,0.8333333333333334,0.8345864661654135,0.7602739726027398,0.634514368112061,0.6335616438356165,0.09843640196153874
thalachcp >= 110.0 & cacp < 0.5 & oldpeakcp < 2.3499999999999996,0.5,0.7894736842105263,0.8015267175572519,0.6327842507030936,0.4007633587786259,0.09816799742845228
