rule,normalized_support,coverage,h_value,ch_value,oh_value,normalized_normalized_support
thalachcp >= 110.0 & agecp >= 37.5,1.0,0.8623853211009175,0.4272727272727272,0.3684737281067556,0.4272727272727272,0.1
thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5 & thalachcp < 160.5,1.0,0.5779816513761468,0.5080645161290323,0.293651968037881,0.5080645161290323,0.1
thalcp >= 1.5 & thalachcp >= 110.0 & thalachcp < 160.5,1.0,0.5963302752293578,0.5158730158730159,0.3076306975389544,0.5158730158730159,0.1
agecp >= 37.5,1.0,0.981651376146789,0.4572649572649572,0.4488747745628479,0.4572649572649572,0.1
thalcp >= 1.5 & agecp >= 37.5 & thalachcp < 160.5,1.0,0.6788990825688074,0.5441176470588235,0.3694009713977333,0.5441176470588235,0.1
thalcp >= 1.5 & thalachcp < 160.5,1.0,0.6972477064220184,0.5507246376811594,0.3839914904932855,0.5507246376811594,0.1
thalachcp >= 110.0 & agecp >= 37.5 & thalachcp < 160.5,1.0,0.6513761467889908,0.5220588235294118,0.3400566648677819,0.5220588235294118,0.1
thalcp >= 1.5 & thalachcp >= 110.0,1.0,0.8073394495412844,0.4093023255813953,0.3304459142308513,0.4093023255813953,0.1
thalachcp >= 110.0,1.0,0.8807339449541285,0.4210526315789473,0.3708353452438435,0.4210526315789473,0.1
agecp >= 37.5 & thalachcp < 160.5,1.0,0.7706422018348624,0.56,0.431559633027523,0.56,0.1
