metric,num_rules,accuracy
ch_support,10,0.918032786885246
ch_support,20,0.8688524590163934
ch_support,30,0.8688524590163934
ch_support,40,0.8524590163934426
ch_support,50,0.8688524590163934
ch_support,60,0.8688524590163934
ch_support,70,0.8852459016393442
ch_support,80,0.8852459016393442
ch_support,90,0.8852459016393442
ch_support,100,0.8688524590163934
coverage,10,0.7049180327868853
coverage,20,0.8688524590163934
coverage,30,0.819672131147541
coverage,40,0.8852459016393442
coverage,50,0.8360655737704918
coverage,60,0.8360655737704918
coverage,70,0.8360655737704918
coverage,80,0.8524590163934426
coverage,90,0.8360655737704918
coverage,100,0.8360655737704918
h_support,10,0.5737704918032787
h_support,20,0.7704918032786885
h_support,30,0.7704918032786885
h_support,40,0.7868852459016393
h_support,50,0.819672131147541
h_support,60,0.819672131147541
h_support,70,0.819672131147541
h_support,80,0.8032786885245902
h_support,90,0.819672131147541
h_support,100,0.819672131147541
normalized_support,10,0.4754098360655737
normalized_support,20,0.6557377049180327
normalized_support,30,0.6557377049180327
normalized_support,40,0.6229508196721312
normalized_support,50,0.6229508196721312
normalized_support,60,0.6229508196721312
normalized_support,70,0.6229508196721312
normalized_support,80,0.6229508196721312
normalized_support,90,0.639344262295082
normalized_support,100,0.6229508196721312
oh_support,10,0.7540983606557377
oh_support,20,0.8032786885245902
oh_support,30,0.7704918032786885
oh_support,40,0.7704918032786885
oh_support,50,0.7868852459016393
oh_support,60,0.7868852459016393
oh_support,70,0.8360655737704918
oh_support,80,0.819672131147541
oh_support,90,0.8032786885245902
oh_support,100,0.8032786885245902
