rule,normalized_support,coverage,h_value,ch_value,oh_value,normalized_normalized_support
agecp >= 37.5,1.0,0.981651376146789,0.4572649572649572,0.4488747745628479,0.4572649572649572,0.05970149253731343
thalachcp >= 110.0,1.0,0.8807339449541285,0.4210526315789473,0.3708353452438435,0.4210526315789473,0.05970149253731343
thalachcp >= 110.0 & agecp >= 37.5,1.0,0.8623853211009175,0.4272727272727272,0.3684737281067556,0.4272727272727272,0.05970149253731343
thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5,1.0,0.7889908256880734,0.4154589371980676,0.3277932898993928,0.4154589371980676,0.05970149253731343
thalcp >= 1.5 & thalachcp >= 110.0,1.0,0.8073394495412844,0.4093023255813953,0.3304459142308513,0.4093023255813953,0.05970149253731343
thalcp >= 1.5 & agecp >= 37.5,1.0,0.8899082568807339,0.4429223744292237,0.3941602781617862,0.4429223744292237,0.05970149253731343
thalcp >= 1.5,1.0,0.908256880733945,0.4361233480176211,0.3961120316857293,0.4361233480176211,0.05970149253731343
agecp >= 56.5,0.75,0.6238532110091743,0.6017699115044248,0.3754160915807421,0.4513274336283186,0.04477611940298507
agecp >= 56.5 & thalachcp >= 110.0,0.75,0.5412844036697247,0.5728155339805825,0.3100561147234345,0.4296116504854368,0.04477611940298507
agecp >= 56.5 & thalcp >= 1.5,0.75,0.5688073394495413,0.5961538461538461,0.3390966831333803,0.4471153846153846,0.04477611940298507
agecp >= 56.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.75,0.4954128440366973,0.5684210526315789,0.2816030902945437,0.4263157894736842,0.04477611940298507
trestbpscp >= 129.0,0.75,0.5321100917431193,0.4427480916030534,0.2355907276419917,0.3320610687022901,0.04477611940298507
trestbpscp >= 129.0 & agecp >= 37.5,0.75,0.5321100917431193,0.453125,0.2411123853211009,0.33984375,0.04477611940298507
trestbpscp >= 129.0 & thalachcp >= 110.0,0.75,0.4587155963302752,0.4065040650406504,0.1864697546058029,0.3048780487804878,0.04477611940298507
trestbpscp >= 129.0 & thalachcp >= 110.0 & agecp >= 37.5,0.75,0.4587155963302752,0.4166666666666667,0.191131498470948,0.3125,0.04477611940298507
trestbpscp >= 129.0 & thalcp >= 1.5,0.75,0.4770642201834862,0.4227642276422764,0.2016856865816365,0.3170731707317073,0.04477611940298507
trestbpscp >= 129.0 & thalcp >= 1.5 & agecp >= 37.5,0.75,0.4770642201834862,0.4333333333333333,0.2067278287461774,0.325,0.04477611940298507
trestbpscp >= 129.0 & thalcp >= 1.5 & thalachcp >= 110.0,0.75,0.4220183486238532,0.3931623931623931,0.1659217439033952,0.2948717948717949,0.04477611940298507
trestbpscp >= 129.0 & thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5,0.75,0.4220183486238532,0.4035087719298245,0.1702881055850635,0.3026315789473684,0.04477611940298507
oldpeakcp >= 0.55,0.75,0.7522935779816514,0.5985401459854015,0.4502779079890177,0.4489051094890511,0.04477611940298507
