rule,normalized_support,coverage,h_value,ch_value,oh_value
Glucosecp >= 99.5,0.6666666666666666,0.6483790523690773,0.5639913232104121,0.365680159687549,0.37599421547360806
DiabetesPedigreeFunctioncp >= 0.3435 & Glucosecp >= 99.5,0.5,0.3092269326683292,0.496,0.15337655860349128,0.248
Glucosecp >= 128.5,0.5,0.20448877805486285,0.38497652582159625,0.07872337934506457,0.19248826291079812
Glucosecp >= 116.5,0.5,0.3790523690773067,0.48253968253968255,0.18290780984047816,0.24126984126984127
DiabetesPedigreeFunctioncp >= 0.3435,0.5,0.486284289276808,0.5927051671732523,0.2882232109695367,0.29635258358662614
DiabetesPedigreeFunctioncp >= 0.4545 & Glucosecp >= 128.5,0.3333333333333333,0.07231920199501247,0.3333333333333333,0.024106400665004156,0.1111111111111111
SkinThicknesscp >= 13.5,0.3333333333333333,0.6733167082294265,0.656934306569343,0.44232484482225093,0.218978102189781
DiabetesPedigreeFunctioncp >= 0.4545,0.3333333333333333,0.34663341645885287,0.5791666666666667,0.2007585203657523,0.19305555555555556
SkinThicknesscp >= 13.5 & DiabetesPedigreeFunctioncp >= 0.3435,0.3333333333333333,0.3491271820448878,0.5761316872427984,0.20114323245384483,0.19204389574759945
SkinThicknesscp >= 13.5 & DiabetesPedigreeFunctioncp >= 0.3435 & Glucosecp >= 99.5,0.3333333333333333,0.22693266832917705,0.489247311827957,0.11102619794599522,0.16308243727598565
SkinThicknesscp >= 13.5 & Glucosecp >= 99.5,0.3333333333333333,0.4314214463840399,0.570957095709571,0.24632313605425382,0.19031903190319033
DiabetesPedigreeFunctioncp >= 0.3435 & Glucosecp >= 128.5,0.3333333333333333,0.10224438902743142,0.3333333333333333,0.0340814630091438,0.1111111111111111
BMIcp >= 26.35,0.3333333333333333,0.6882793017456359,0.5786163522012578,0.39824965887168867,0.19287211740041926
DiabetesPedigreeFunctioncp >= 0.4545 & Glucosecp >= 116.5,0.3333333333333333,0.13466334164588528,0.4186046511627907,0.05637070115409152,0.13953488372093023
DiabetesPedigreeFunctioncp >= 0.4545 & Glucosecp >= 99.5,0.3333333333333333,0.22693266832917705,0.489247311827957,0.11102619794599522,0.16308243727598565
