rule,normalized_support,coverage,h_value,ch_value,oh_value
Pregnanciescp >= 2.5 & Glucosecp >= 99.5,1.0,0.6338028169014085,0.5056179775280899,0.3204620984332964,0.5056179775280899
Pregnanciescp >= 1.5,1.0,0.7370892018779343,0.3857493857493858,0.28433170686691817,0.3857493857493858
Pregnanciescp >= 2.5,1.0,0.6713615023474179,0.4307228915662651,0.2891707675773517,0.4307228915662651
Glucosecp >= 99.5,1.0,0.9436619718309859,0.4360086767895879,0.4114448076746815,0.4360086767895879
Pregnanciescp >= 1.5 & Glucosecp >= 99.5,1.0,0.6901408450704225,0.4681528662420382,0.32309141473042075,0.4681528662420382
Agecp >= 44.5 & Pregnanciescp >= 5.5 & SkinThicknesscp >= 13.5,0.75,0.11737089201877934,0.5952380952380952,0.06986362620165437,0.4464285714285714
Agecp >= 44.5 & Pregnanciescp >= 5.5 & SkinThicknesscp >= 13.5 & Glucosecp >= 99.5,0.75,0.107981220657277,0.6388888888888888,0.06898800208659363,0.47916666666666663
Agecp >= 44.5 & Pregnanciescp >= 1.5,0.75,0.2347417840375587,0.5494505494505495,0.12897900221843886,0.4120879120879121
Agecp >= 44.5 & Pregnanciescp >= 2.5 & Glucosecp >= 99.5,0.75,0.20657276995305165,0.5714285714285714,0.11804158283031523,0.42857142857142855
Agecp >= 44.5 & Pregnanciescp >= 2.5,0.75,0.22065727699530516,0.5402298850574713,0.1192056553882683,0.4051724137931034
Agecp >= 44.5 & Glucosecp >= 99.5,0.75,0.2535211267605634,0.5869565217391305,0.14880587875076548,0.4402173913043479
Agecp >= 44.5 & Pregnanciescp >= 1.5 & Glucosecp >= 99.5,0.75,0.22065727699530516,0.5802469135802469,0.12803570393554745,0.43518518518518523
Agecp >= 44.5 & Pregnanciescp >= 5.5,0.75,0.16901408450704225,0.5373134328358209,0.09081353794408241,0.40298507462686567
Agecp >= 44.5 & SkinThicknesscp >= 13.5 & Glucosecp >= 99.5,0.75,0.1596244131455399,0.68,0.10854460093896715,0.51
Agecp >= 44.5 & SkinThicknesscp >= 13.5 & Pregnanciescp >= 1.5,0.75,0.15492957746478872,0.6226415094339622,0.09646558596864203,0.46698113207547165
Agecp >= 44.5 & SkinThicknesscp >= 13.5 & Pregnanciescp >= 1.5 & Glucosecp >= 99.5,0.75,0.14084507042253522,0.6666666666666666,0.09389671361502347,0.5
Agecp >= 44.5 & SkinThicknesscp >= 13.5 & Pregnanciescp >= 2.5,0.75,0.15023474178403756,0.6153846153846154,0.09245214879017696,0.46153846153846156
Agecp >= 44.5 & SkinThicknesscp >= 13.5 & Pregnanciescp >= 2.5 & Glucosecp >= 99.5,0.75,0.13615023474178403,0.6590909090909091,0.0897353819889031,0.49431818181818177
Agecp >= 44.5,0.75,0.2676056338028169,0.5480769230769231,0.14666847237269773,0.41105769230769235
Agecp >= 44.5 & SkinThicknesscp >= 13.5,0.75,0.17370892018779344,0.6379310344827587,0.11081431115428203,0.478448275862069
Agecp >= 44.5 & Pregnanciescp >= 5.5 & Glucosecp >= 99.5,0.75,0.1596244131455399,0.576271186440678,0.09198694994827723,0.4322033898305085
Agecp >= 40.5 & SkinThicknesscp >= 13.5,0.75,0.24882629107981222,0.6162790697674418,0.15334643520034938,0.4622093023255814
Agecp >= 40.5 & SkinThicknesscp >= 13.5 & Glucosecp >= 99.5,0.75,0.22535211267605634,0.6956521739130435,0.15676668707899571,0.5217391304347826
Agecp >= 40.5 & SkinThicknesscp >= 13.5 & Pregnanciescp >= 2.5,0.75,0.2112676056338028,0.6081081081081081,0.1284735439665017,0.4560810810810811
Agecp >= 40.5 & SkinThicknesscp >= 13.5 & Pregnanciescp >= 2.5 & Glucosecp >= 99.5,0.75,0.19248826291079812,0.6949152542372882,0.13376303015835125,0.5211864406779662
Agecp >= 40.5 & SkinThicknesscp >= 13.5 & Pregnanciescp >= 1.5,0.75,0.215962441314554,0.6052631578947368,0.13071410921670373,0.45394736842105265
Agecp >= 40.5 & SkinThicknesscp >= 13.5 & Pregnanciescp >= 1.5 & Glucosecp >= 99.5,0.75,0.19718309859154928,0.7,0.1380281690140845,0.5249999999999999
Agecp >= 40.5,0.75,0.39906103286384975,0.5629139072847682,0.22463700525448496,0.42218543046357615
Glucosecp >= 128.5 & Pregnanciescp >= 1.5,0.75,0.45539906103286387,0.6339869281045751,0.28871705176593326,0.47549019607843135
Glucosecp >= 116.5,0.75,0.7652582159624414,0.5174603174603175,0.3959907593710411,0.38809523809523816
Glucosecp >= 128.5,0.75,0.6150234741784038,0.6150234741784038,0.37825387379047365,0.4612676056338028
Glucosecp >= 128.5 & Pregnanciescp >= 2.5,0.75,0.4225352112676056,0.6428571428571429,0.2716297786720322,0.4821428571428572
Glucosecp >= 116.5 & Pregnanciescp >= 2.5,0.75,0.49765258215962443,0.5492227979274611,0.27332214356953466,0.4119170984455958
Glucosecp >= 116.5 & Pregnanciescp >= 1.5,0.75,0.539906103286385,0.5251141552511416,0.28351233734216563,0.3938356164383562
Agecp >= 31.5 & Pregnanciescp >= 2.5 & Glucosecp >= 99.5,0.75,0.4694835680751174,0.5681818181818182,0.26675202731540765,0.42613636363636365
Agecp >= 31.5 & Pregnanciescp >= 2.5,0.75,0.49765258215962443,0.5047619047619047,0.2511960652805723,0.37857142857142856
Agecp >= 31.5 & Pregnanciescp >= 1.5 & Glucosecp >= 99.5,0.75,0.4835680751173709,0.5659340659340659,0.2736676469070835,0.42445054945054944
Agecp >= 31.5 & Pregnanciescp >= 1.5,0.75,0.5117370892018779,0.5023041474654378,0.257047662317994,0.3767281105990784
Agecp >= 31.5 & Glucosecp >= 99.5,0.75,0.596244131455399,0.5906976744186047,0.352200021836445,0.4430232558139535
Agecp >= 31.5 & SkinThicknesscp >= 13.5 & Pregnanciescp >= 2.5 & Glucosecp >= 99.5,0.75,0.29577464788732394,0.6116504854368932,0.18091070696020783,0.45873786407766987
Agecp >= 31.5 & SkinThicknesscp >= 13.5 & Pregnanciescp >= 2.5,0.75,0.323943661971831,0.5433070866141733,0.17600088721304205,0.40748031496063
Agecp >= 31.5 & SkinThicknesscp >= 13.5 & Pregnanciescp >= 1.5 & Glucosecp >= 99.5,0.75,0.3004694835680751,0.6095238095238096,0.18314330427006487,0.4571428571428572
Agecp >= 31.5 & SkinThicknesscp >= 13.5 & Pregnanciescp >= 1.5,0.75,0.3286384976525822,0.5384615384615384,0.1769591910436981,0.40384615384615385
Agecp >= 31.5 & SkinThicknesscp >= 13.5 & Glucosecp >= 99.5,0.75,0.3755868544600939,0.6349206349206349,0.2384678441016469,0.47619047619047616
Agecp >= 31.5 & SkinThicknesscp >= 13.5,0.75,0.4084507042253521,0.5612903225806452,0.22925942753293957,0.42096774193548386
Agecp >= 31.5,0.75,0.6291079812206573,0.5214007782101168,0.32801739098664623,0.3910505836575876
SkinThicknesscp >= 13.5 & Pregnanciescp >= 2.5 & Glucosecp >= 99.5,0.75,0.38497652582159625,0.5256410256410257,0.20235945588058266,0.3942307692307693
Pregnanciescp >= 5.5,0.75,0.40375586854460094,0.5029239766081871,0.20305850698734315,0.3771929824561403
Pregnanciescp >= 5.5 & Agecp >= 31.5 & SkinThicknesscp >= 13.5 & Glucosecp >= 99.5,0.75,0.2300469483568075,0.6363636363636364,0.1463935125906957,0.4772727272727273
Pregnanciescp >= 5.5 & Glucosecp >= 99.5,0.75,0.38497652582159625,0.5815602836879432,0.22388705757000632,0.4361702127659574
Pregnanciescp >= 5.5 & Agecp >= 31.5 & Glucosecp >= 99.5,0.75,0.352112676056338,0.6,0.21126760563380279,0.44999999999999996
