rule,normalized_support,coverage,h_value,ch_value,oh_value
oldpeakcp < 2.3499999999999996,0.9924812030075189,0.9924812030075187,0.6255924170616114,0.6208887146776895,0.6208887146776896
thalachcp >= 110.0,0.9924812030075189,0.9924812030075187,0.5789473684210527,0.5745943806885635,0.5745943806885636
thalachcp >= 110.0 & oldpeakcp < 2.3499999999999996,0.9849624060150376,0.9849624060150376,0.6616161616161617,0.6516670464038885,0.6516670464038885
thalcp >= 1.5,0.962406015037594,0.9624060150375939,0.5638766519823789,0.5426782816071015,0.5426782816071015
agecp >= 37.5,0.9548872180451128,0.9548872180451128,0.5427350427350427,0.5182507550928603,0.5182507550928603
agecp >= 37.5 & oldpeakcp < 2.3499999999999996,0.9548872180451128,0.9548872180451128,0.6225490196078431,0.5944641014300457,0.5944641014300457
thalcp >= 1.5 & oldpeakcp < 2.3499999999999996,0.9548872180451128,0.9548872180451128,0.6414141414141414,0.6124781651097441,0.6124781651097441
thalcp >= 1.5 & thalachcp >= 110.0,0.9548872180451128,0.9548872180451128,0.5906976744186047,0.5640496590312992,0.5640496590312992
agecp >= 37.5 & thalachcp >= 110.0,0.9473684210526316,0.9473684210526315,0.5727272727272728,0.5425837320574163,0.5425837320574163
agecp >= 37.5 & thalachcp >= 110.0 & oldpeakcp < 2.3499999999999996,0.9473684210526316,0.9473684210526315,0.6596858638743456,0.62496555524938,0.62496555524938
thalcp >= 1.5 & thalachcp >= 110.0 & oldpeakcp < 2.3499999999999996,0.9473684210526316,0.9473684210526315,0.6737967914438503,0.6383338024204898,0.6383338024204898
agecp >= 37.5 & thalcp >= 1.5 & oldpeakcp < 2.3499999999999996,0.9172932330827068,0.9172932330827067,0.6387434554973822,0.5859150494036137,0.5859150494036138
agecp >= 37.5 & thalcp >= 1.5,0.9172932330827068,0.9172932330827067,0.5570776255707762,0.5110035362378549,0.5110035362378549
agecp >= 37.5 & thalcp >= 1.5 & thalachcp >= 110.0 & oldpeakcp < 2.3499999999999996,0.9097744360902256,0.9097744360902256,0.6722222222222223,0.6115705931495405,0.6115705931495405
agecp >= 37.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.9097744360902256,0.9097744360902256,0.5845410628019324,0.5318005157822092,0.5318005157822092
thalachcp >= 110.0 & fbscp < 0.5,0.8721804511278195,0.8721804511278195,0.58,0.5058646616541352,0.5058646616541352
fbscp < 0.5,0.8721804511278195,0.8721804511278195,0.5497630331753555,0.4794925702882799,0.4794925702882799
exangcp < 0.5,0.8721804511278195,0.8721804511278195,0.6987951807228916,0.6094754959688378,0.6094754959688378
exangcp < 0.5 & oldpeakcp < 2.3499999999999996,0.8646616541353384,0.8646616541353384,0.7467532467532467,0.6456888975685968,0.6456888975685968
thalachcp >= 110.0 & exangcp < 0.5,0.8646616541353384,0.8646616541353384,0.7232704402515723,0.6253842152551189,0.6253842152551189
thalachcp >= 110.0 & fbscp < 0.5 & oldpeakcp < 2.3499999999999996,0.8646616541353384,0.8646616541353384,0.6686046511627907,0.5781168036369995,0.5781168036369995
fbscp < 0.5 & oldpeakcp < 2.3499999999999996,0.8646616541353384,0.8646616541353384,0.6318681318681318,0.546352144096505,0.546352144096505
thalachcp >= 110.0 & exangcp < 0.5 & oldpeakcp < 2.3499999999999996,0.8571428571428571,0.8571428571428571,0.7702702702702703,0.6602316602316602,0.6602316602316602
thalcp >= 1.5 & thalachcp >= 110.0 & fbscp < 0.5,0.8421052631578947,0.8421052631578947,0.5894736842105263,0.4963988919667589,0.4963988919667589
thalcp >= 1.5 & fbscp < 0.5,0.8421052631578947,0.8421052631578947,0.56,0.4715789473684211,0.4715789473684211
thalcp >= 1.5 & exangcp < 0.5,0.8421052631578947,0.8421052631578947,0.7133757961783439,0.600737512571237,0.600737512571237
thalcp >= 1.5 & thalachcp >= 110.0 & exangcp < 0.5,0.8345864661654135,0.8345864661654135,0.7350993377483444,0.6135039585719265,0.6135039585719265
thalcp >= 1.5 & exangcp < 0.5 & oldpeakcp < 2.3499999999999996,0.8345864661654135,0.8345864661654135,0.7602739726027398,0.634514368112061,0.634514368112061
thalcp < 2.5,0.8345864661654135,0.8345864661654135,0.7254901960784313,0.605484298982751,0.605484298982751
thalcp >= 1.5 & fbscp < 0.5 & oldpeakcp < 2.3499999999999996,0.8345864661654135,0.8345864661654135,0.6416184971098265,0.5354861141292537,0.5354861141292537
thalcp >= 1.5 & thalachcp >= 110.0 & fbscp < 0.5 & oldpeakcp < 2.3499999999999996,0.8345864661654135,0.8345864661654135,0.676829268292683,0.5648725472217129,0.5648725472217129
agecp >= 37.5 & thalachcp >= 110.0 & fbscp < 0.5 & oldpeakcp < 2.3499999999999996,0.8270676691729323,0.8270676691729323,0.6666666666666666,0.5513784461152882,0.5513784461152882
thalachcp >= 110.0 & thalcp < 2.5,0.8270676691729323,0.8270676691729323,0.7586206896551724,0.6274306455794658,0.6274306455794658
thalcp >= 1.5 & thalachcp >= 110.0 & exangcp < 0.5 & oldpeakcp < 2.3499999999999996,0.8270676691729323,0.8270676691729323,0.7801418439716312,0.6452300965178904,0.6452300965178904
thalcp < 2.5 & oldpeakcp < 2.3499999999999996,0.8270676691729323,0.8270676691729323,0.7638888888888888,0.6317878028404343,0.6317878028404343
agecp >= 37.5 & fbscp < 0.5,0.8270676691729323,0.8270676691729323,0.541871921182266,0.44816474684247565,0.44816474684247565
agecp >= 37.5 & thalachcp >= 110.0 & fbscp < 0.5,0.8270676691729323,0.8270676691729323,0.5729166666666666,0.4738408521303258,0.4738408521303258
agecp >= 37.5 & exangcp < 0.5 & oldpeakcp < 2.3499999999999996,0.8270676691729323,0.8270676691729323,0.738255033557047,0.6105868698592118,0.6105868698592118
agecp >= 37.5 & exangcp < 0.5,0.8270676691729323,0.8270676691729323,0.6875,0.5686090225563909,0.5686090225563909
agecp >= 37.5 & fbscp < 0.5 & oldpeakcp < 2.3499999999999996,0.8270676691729323,0.8270676691729323,0.6285714285714286,0.5198711063372717,0.5198711063372717
agecp >= 37.5 & thalachcp >= 110.0 & exangcp < 0.5,0.8195488721804511,0.8195488721804511,0.7124183006535948,0.5838616148213671,0.5838616148213671
agecp >= 37.5 & thalachcp >= 110.0 & exangcp < 0.5 & oldpeakcp < 2.3499999999999996,0.8195488721804511,0.8195488721804511,0.7622377622377622,0.6246910983753089,0.6246910983753089
thalachcp >= 110.0 & thalcp < 2.5 & oldpeakcp < 2.3499999999999996,0.8195488721804511,0.8195488721804511,0.7956204379562044,0.6520498326107239,0.6520498326107239
cacp < 0.5,0.8045112781954887,0.8045112781954887,0.7430555555555556,0.597796574770259,0.597796574770259
agecp >= 37.5 & thalcp >= 1.5 & fbscp < 0.5,0.7969924812030075,0.7969924812030075,0.5520833333333334,0.4400062656641604,0.4400062656641604
agecp >= 37.5 & thalcp >= 1.5 & fbscp < 0.5 & oldpeakcp < 2.3499999999999996,0.7969924812030075,0.7969924812030075,0.6385542168674698,0.5089229096838481,0.5089229096838481
agecp >= 37.5 & thalcp >= 1.5 & thalachcp >= 110.0 & fbscp < 0.5,0.7969924812030075,0.7969924812030075,0.5824175824175825,0.46418243410724613,0.46418243410724613
