rule,normalized_support
agecp=37.5,0.9548872180451128
agecp=37.5 & thalachcp=110.0,0.9473684210526315
agecp=37.5 & thalachcp=110.0 & !oldpeakcp=2.3499999999999996,0.9473684210526315
agecp=37.5 & thalcp=1.5,0.9172932330827067
agecp=37.5 & thalcp=1.5 & thalachcp=110.0,0.9097744360902256
agecp=37.5 & thalcp=1.5 & thalachcp=110.0 & !oldpeakcp=2.3499999999999996,0.9097744360902256
agecp=37.5 & thalcp=1.5 & !oldpeakcp=2.3499999999999996,0.9172932330827067
agecp=37.5 & !oldpeakcp=2.3499999999999996,0.9548872180451128
thalachcp=110.0,0.9924812030075187
thalachcp=110.0 & !oldpeakcp=2.3499999999999996,0.9849624060150376
comcp=0.5,0.7593984962406015
comcp=0.5 & agecp=37.5,0.7218045112781954
comcp=0.5 & agecp=37.5 & thalachcp=110.0,0.7142857142857143
comcp=0.5 & agecp=37.5 & thalachcp=110.0 & !oldpeakcp=2.3499999999999996,0.7142857142857143
comcp=0.5 & agecp=37.5 & thalcp=1.5,0.6992481203007519
comcp=0.5 & agecp=37.5 & thalcp=1.5 & thalachcp=110.0,0.6917293233082706
comcp=0.5 & agecp=37.5 & thalcp=1.5 & thalachcp=110.0 & !oldpeakcp=2.3499999999999996,0.6917293233082706
comcp=0.5 & agecp=37.5 & thalcp=1.5 & !oldpeakcp=2.3499999999999996,0.6992481203007519
comcp=0.5 & agecp=37.5 & !oldpeakcp=2.3499999999999996,0.7218045112781954
comcp=0.5 & thalachcp=110.0,0.7518796992481203
comcp=0.5 & thalachcp=110.0 & !oldpeakcp=2.3499999999999996,0.7443609022556391
comcp=0.5 & thalcp=1.5,0.7368421052631579
comcp=0.5 & thalcp=1.5 & thalachcp=110.0,0.7293233082706767
comcp=0.5 & thalcp=1.5 & thalachcp=110.0 & !oldpeakcp=2.3499999999999996,0.7218045112781954
comcp=0.5 & thalcp=1.5 & !oldpeakcp=2.3499999999999996,0.7293233082706767
comcp=0.5 & !oldpeakcp=2.3499999999999996,0.7518796992481203
comcp=0.5 & !exangcp=0.5,0.6766917293233082
comcp=0.5 & !exangcp=0.5 & agecp=37.5,0.6390977443609023
comcp=0.5 & !exangcp=0.5 & agecp=37.5 & thalachcp=110.0,0.631578947368421
comcp=0.5 & !exangcp=0.5 & agecp=37.5 & thalachcp=110.0 & !oldpeakcp=2.3499999999999996,0.631578947368421
comcp=0.5 & !exangcp=0.5 & agecp=37.5 & thalcp=1.5,0.6165413533834586
comcp=0.5 & !exangcp=0.5 & agecp=37.5 & thalcp=1.5 & thalachcp=110.0,0.6090225563909775
comcp=0.5 & !exangcp=0.5 & agecp=37.5 & thalcp=1.5 & thalachcp=110.0 & !oldpeakcp=2.3499999999999996,0.6090225563909775
