rule,normalized_support,coverage,h_value,ch_value,oh_value
thalachcp >= 110.0,0.9924812030075189,0.9924812030075187,0.5789473684210527,0.5745943806885635,0.5745943806885636
thalcp >= 1.5,0.962406015037594,0.9624060150375939,0.5638766519823789,0.5426782816071015,0.5426782816071015
agecp >= 37.5,0.9548872180451128,0.9548872180451128,0.5427350427350427,0.5182507550928603,0.5182507550928603
thalcp >= 1.5 & thalachcp >= 110.0,0.9548872180451128,0.9548872180451128,0.5906976744186047,0.5640496590312992,0.5640496590312992
agecp >= 37.5 & thalachcp >= 110.0,0.9473684210526316,0.9473684210526315,0.5727272727272728,0.5425837320574163,0.5425837320574163
agecp >= 37.5 & thalcp >= 1.5,0.9172932330827068,0.9172932330827067,0.5570776255707762,0.5110035362378549,0.5110035362378549
agecp >= 37.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.9097744360902256,0.9097744360902256,0.5845410628019324,0.5318005157822092,0.5318005157822092
comcp >= 0.5,0.7593984962406015,0.7593984962406015,0.7651515151515151,0.5810549100022784,0.5810549100022784
comcp >= 0.5 & thalachcp >= 110.0,0.7518796992481203,0.7518796992481203,0.7751937984496124,0.5828524800373026,0.5828524800373026
comcp >= 0.5 & thalcp >= 1.5,0.7368421052631579,0.7368421052631579,0.7777777777777778,0.5730994152046783,0.5730994152046783
comcp >= 0.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.7293233082706767,0.7293233082706767,0.7886178861788617,0.5751574057093954,0.5751574057093954
comcp >= 0.5 & agecp >= 37.5,0.7218045112781954,0.7218045112781954,0.7559055118110236,0.54561600852525,0.54561600852525
comcp >= 0.5 & agecp >= 37.5 & thalachcp >= 110.0,0.7142857142857143,0.7142857142857143,0.7661290322580645,0.5472350230414746,0.5472350230414746
comcp >= 0.5 & agecp >= 37.5 & thalcp >= 1.5,0.6992481203007519,0.6992481203007519,0.768595041322314,0.5374386379171068,0.5374386379171068
comcp >= 0.5 & agecp >= 37.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.6917293233082706,0.6917293233082706,0.7796610169491526,0.5393143876640755,0.5393143876640755
cholcp >= 231.5 & thalachcp >= 110.0,0.556390977443609,0.556390977443609,0.5606060606060606,0.31191615402141715,0.31191615402141715
cholcp >= 231.5,0.556390977443609,0.556390977443609,0.524822695035461,0.2920066122753692,0.2920066122753692
cholcp >= 231.5 & agecp >= 37.5,0.5488721804511278,0.5488721804511278,0.5251798561151079,0.2882566127549088,0.2882566127549088
cholcp >= 231.5 & agecp >= 37.5 & thalachcp >= 110.0,0.5488721804511278,0.5488721804511278,0.5615384615384615,0.30821283979178715,0.30821283979178715
trestbpscp >= 129.0,0.5488721804511278,0.5488721804511278,0.5572519083969466,0.30586007002238425,0.30586007002238425
trestbpscp >= 129.0 & thalachcp >= 110.0,0.5488721804511278,0.5488721804511278,0.5934959349593496,0.32575340791001894,0.32575340791001894
cholcp >= 231.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.5488721804511278,0.5488721804511278,0.5793650793650794,0.31799737438835185,0.31799737438835185
cholcp >= 231.5 & thalcp >= 1.5,0.5488721804511278,0.5488721804511278,0.5407407407407407,0.2967975494291284,0.2967975494291284
cholcp >= 231.5 & agecp >= 37.5 & thalcp >= 1.5,0.5413533834586466,0.5413533834586466,0.5413533834586466,0.29306348578212443,0.29306348578212443
cholcp >= 231.5 & agecp >= 37.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.5413533834586466,0.5413533834586466,0.5806451612903226,0.3143342226534077,0.3143342226534077
trestbpscp >= 129.0 & thalcp >= 1.5,0.5338345864661654,0.5338345864661654,0.5772357723577236,0.30814841983006297,0.30814841983006297
trestbpscp >= 129.0 & thalcp >= 1.5 & thalachcp >= 110.0,0.5338345864661654,0.5338345864661654,0.6068376068376068,0.32395090289827133,0.32395090289827133
trestbpscp >= 129.0 & agecp >= 37.5 & thalachcp >= 110.0,0.5263157894736842,0.5263157894736842,0.5833333333333334,0.30701754385964913,0.30701754385964913
trestbpscp >= 129.0 & agecp >= 37.5,0.5263157894736842,0.5263157894736842,0.546875,0.287828947368421,0.287828947368421
sexcp >= 0.5 & thalachcp >= 110.0,0.5263157894736842,0.5263157894736842,0.47297297297297297,0.24893314366998576,0.24893314366998576
sexcp >= 0.5,0.5263157894736842,0.5263157894736842,0.44025157232704404,0.23171135385633895,0.23171135385633895
comcp >= 1.5,0.518796992481203,0.518796992481203,0.7582417582417582,0.3933735437494836,0.3933735437494836
comcp >= 1.5 & thalachcp >= 110.0,0.5112781954887218,0.5112781954887218,0.7640449438202247,0.3906395201486863,0.3906395201486863
trestbpscp >= 129.0 & agecp >= 37.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.5112781954887218,0.5112781954887218,0.5964912280701754,0.30497295871257085,0.30497295871257085
trestbpscp >= 129.0 & agecp >= 37.5 & thalcp >= 1.5,0.5112781954887218,0.5112781954887218,0.5666666666666667,0.28972431077694233,0.28972431077694233
thalachcp >= 160.5,0.5037593984962406,0.5037593984962406,0.7444444444444445,0.37502088554720137,0.37502088554720137
sexcp >= 0.5 & agecp >= 37.5,0.4962406015037593,0.49624060150375937,0.43137254901960786,0.21406457319770014,0.21406457319770011
sexcp >= 0.5 & agecp >= 37.5 & thalachcp >= 110.0,0.4962406015037593,0.49624060150375937,0.4647887323943662,0.23064704013555012,0.2306470401355501
comcp >= 1.5 & thalcp >= 1.5,0.4962406015037593,0.49624060150375937,0.7674418604651163,0.3808358104563735,0.38083581045637344
comcp >= 1.5 & agecp >= 37.5,0.4962406015037593,0.49624060150375937,0.75,0.3721804511278195,0.3721804511278195
sexcp >= 0.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.4962406015037593,0.49624060150375937,0.4852941176470588,0.24082264484741264,0.24082264484741261
sexcp >= 0.5 & thalcp >= 1.5,0.4962406015037593,0.49624060150375937,0.45517241379310347,0.22587503240860773,0.2258750324086077
thalachcp >= 160.5 & thalcp >= 1.5,0.4962406015037593,0.49624060150375937,0.7415730337078652,0.36799864830615864,0.36799864830615864
comcp >= 1.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.4887218045112781,0.48872180451127817,0.7738095238095238,0.3781775868242034,0.3781775868242033
comcp >= 1.5 & agecp >= 37.5 & thalachcp >= 110.0,0.4887218045112781,0.48872180451127817,0.7558139534883721,0.3693827592236405,0.36938275922364044
comcp >= 1.5 & agecp >= 37.5 & thalcp >= 1.5,0.4736842105263157,0.47368421052631576,0.7590361445783133,0.35954343690551677,0.35954343690551677
comcp >= 1.5 & agecp >= 37.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.4661654135338345,0.46616541353383456,0.7654320987654321,0.35681797085305855,0.3568179708530585
sexcp >= 0.5 & agecp >= 37.5 & thalcp >= 1.5,0.4661654135338345,0.46616541353383456,0.4460431654676259,0.20792989668415643,0.2079298966841564
sexcp >= 0.5 & agecp >= 37.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.4661654135338345,0.46616541353383456,0.47692307692307695,0.22232504337767495,0.22232504337767492
thalachcp >= 160.5 & agecp >= 37.5,0.4586466165413533,0.45864661654135336,0.7261904761904762,0.3330648048693161,0.33306480486931606
thalachcp >= 160.5 & agecp >= 37.5 & thalcp >= 1.5,0.4511278195488721,0.45112781954887216,0.7228915662650602,0.32611649605942566,0.3261164960594256
trestbpscp >= 129.0 & comcp >= 0.5,0.4210526315789473,0.42105263157894735,0.7567567567567568,0.3186344238975818,0.31863442389758173
trestbpscp >= 129.0 & comcp >= 0.5 & thalachcp >= 110.0,0.4210526315789473,0.42105263157894735,0.7671232876712328,0.32299927901946646,0.3229992790194664
cholcp >= 231.5 & comcp >= 0.5,0.4210526315789473,0.42105263157894735,0.7466666666666667,0.3143859649122807,0.31438596491228066
cholcp >= 231.5 & comcp >= 0.5 & thalachcp >= 110.0,0.4210526315789473,0.42105263157894735,0.7671232876712328,0.32299927901946646,0.3229992790194664
thalachcp >= 160.5 & comcp >= 0.5,0.4135338345864661,0.41353383458646614,0.8461538461538461,0.3499132446500867,0.34991324465008666
