rule,normalized_support
agecp=37.5,0.9548872180451128
agecp=37.5 & thalachcp=110.0,0.9473684210526315
agecp=37.5 & thalcp=1.5,0.9172932330827067
agecp=37.5 & thalcp=1.5 & thalachcp=110.0,0.9097744360902256
thalachcp=110.0,0.9924812030075187
comcp=0.5,0.7593984962406015
comcp=0.5 & agecp=37.5,0.7218045112781954
comcp=0.5 & agecp=37.5 & thalachcp=110.0,0.7142857142857143
comcp=0.5 & agecp=37.5 & thalcp=1.5,0.6992481203007519
comcp=0.5 & agecp=37.5 & thalcp=1.5 & thalachcp=110.0,0.6917293233082706
comcp=0.5 & thalachcp=110.0,0.7518796992481203
comcp=0.5 & thalcp=1.5,0.7368421052631579
comcp=0.5 & thalcp=1.5 & thalachcp=110.0,0.7293233082706767
thalcp=1.5,0.9624060150375939
thalcp=1.5 & thalachcp=110.0,0.9548872180451128
agecp=56.5,0.3383458646616541
agecp=56.5 & agecp=37.5,0.3383458646616541
agecp=56.5 & agecp=37.5 & thalachcp=110.0,0.3308270676691729
agecp=56.5 & agecp=37.5 & thalcp=1.5,0.3157894736842105
agecp=56.5 & agecp=37.5 & thalcp=1.5 & thalachcp=110.0,0.3082706766917293
agecp=56.5 & thalachcp=110.0,0.3308270676691729
agecp=56.5 & thalcp=1.5,0.3157894736842105
agecp=56.5 & thalcp=1.5 & thalachcp=110.0,0.3082706766917293
thalachcp=160.5,0.5037593984962406
thalachcp=160.5 & agecp=37.5,0.45864661654135336
thalachcp=160.5 & agecp=37.5 & thalachcp=110.0,0.45864661654135336
thalachcp=160.5 & agecp=37.5 & thalcp=1.5,0.45112781954887216
thalachcp=160.5 & agecp=37.5 & thalcp=1.5 & thalachcp=110.0,0.45112781954887216
thalachcp=160.5 & thalachcp=110.0,0.5037593984962406
thalachcp=160.5 & comcp=0.5,0.41353383458646614
thalachcp=160.5 & comcp=0.5 & agecp=37.5,0.37593984962406013
thalachcp=160.5 & comcp=0.5 & agecp=37.5 & thalachcp=110.0,0.37593984962406013
thalachcp=160.5 & comcp=0.5 & agecp=37.5 & thalcp=1.5,0.3684210526315789
thalachcp=160.5 & comcp=0.5 & agecp=37.5 & thalcp=1.5 & thalachcp=110.0,0.3684210526315789
thalachcp=160.5 & comcp=0.5 & thalachcp=110.0,0.41353383458646614
thalachcp=160.5 & comcp=0.5 & thalcp=1.5,0.40601503759398494
thalachcp=160.5 & comcp=0.5 & thalcp=1.5 & thalachcp=110.0,0.40601503759398494
thalachcp=160.5 & thalcp=1.5,0.49624060150375937
thalachcp=160.5 & thalcp=1.5 & thalachcp=110.0,0.49624060150375937
thalachcp=160.5 & comcp=1.5,0.2556390977443609
thalachcp=160.5 & comcp=1.5 & thalachcp=110.0,0.2556390977443609
thalachcp=160.5 & comcp=1.5 & comcp=0.5,0.2556390977443609
