rule,normalized_support,coverage,h_value,ch_value,oh_value
thalcp >= 1.5 & agecp >= 37.5,1.0,0.8899082568807339,0.4429223744292237,0.3941602781617862,0.4429223744292237
thalcp >= 1.5,1.0,0.908256880733945,0.43612334801762115,0.3961120316857293,0.43612334801762115
thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5,1.0,0.7889908256880734,0.41545893719806765,0.3277932898993928,0.41545893719806765
thalachcp < 160.5,1.0,0.7889908256880734,0.5657894736842105,0.44640270400772575,0.5657894736842105
agecp >= 37.5 & thalachcp < 160.5,1.0,0.7706422018348624,0.56,0.431559633027523,0.56
thalachcp >= 110.0,1.0,0.8807339449541285,0.42105263157894735,0.37083534524384354,0.42105263157894735
thalcp >= 1.5 & thalachcp >= 110.0,1.0,0.8073394495412844,0.40930232558139534,0.3304459142308513,0.40930232558139534
thalachcp >= 110.0 & thalachcp < 160.5,1.0,0.6697247706422018,0.5289855072463768,0.3542746975136285,0.5289855072463768
thalachcp >= 110.0 & agecp >= 37.5 & thalachcp < 160.5,1.0,0.6513761467889908,0.5220588235294118,0.34005666486778197,0.5220588235294118
thalcp >= 1.5 & thalachcp < 160.5,1.0,0.6972477064220184,0.5507246376811594,0.3839914904932855,0.5507246376811594
thalcp >= 1.5 & agecp >= 37.5 & thalachcp < 160.5,1.0,0.6788990825688074,0.5441176470588235,0.36940097139773337,0.5441176470588235
agecp >= 37.5,1.0,0.981651376146789,0.45726495726495725,0.44887477456284797,0.45726495726495725
thalcp >= 1.5 & thalachcp >= 110.0 & thalachcp < 160.5,1.0,0.5963302752293578,0.5158730158730159,0.30763069753895445,0.5158730158730159
thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5 & thalachcp < 160.5,1.0,0.5779816513761468,0.5080645161290323,0.293651968037881,0.5080645161290323
thalachcp >= 110.0 & agecp >= 37.5,1.0,0.8623853211009175,0.42727272727272725,0.3684737281067556,0.42727272727272725
agecp >= 56.5 & oldpeakcp < 2.3499999999999996 & thalachcp < 160.5,0.75,0.3302752293577982,0.5217391304347826,0.172317510969286,0.3913043478260869
agecp >= 56.5 & thalachcp >= 110.0 & oldpeakcp < 2.3499999999999996 & thalachcp < 160.5,0.75,0.25688073394495414,0.4666666666666667,0.1198776758409786,0.35
agecp >= 56.5 & thalcp >= 1.5 & oldpeakcp < 2.3499999999999996 & thalachcp < 160.5,0.75,0.28440366972477066,0.5081967213114754,0.14453301248308018,0.3811475409836066
trestbpscp >= 129.0 & thalcp >= 1.5 & cacp < 0.5 & thalachcp < 160.5,0.75,0.1651376146788991,0.42857142857142855,0.07077326343381389,0.3214285714285714
