rule,normalized_support,coverage,h_value,ch_value,oh_value
agecp >= 37.5,1.0,0.9548872180451128,0.5427350427350427,0.5182507550928603,0.5427350427350427
thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5 & comcp < 1.5 & thalcp < 2.5,1.0,0.3684210526315789,0.7205882352941176,0.26547987616099067,0.7205882352941176
thalcp >= 1.5 & thalachcp >= 110.0 & comcp < 1.5 & thalcp < 2.5,1.0,0.39097744360902253,0.7323943661971831,0.286349677009425,0.7323943661971831
thalcp >= 1.5 & agecp >= 37.5 & comcp < 1.5 & thalcp < 2.5,1.0,0.3684210526315789,0.6712328767123288,0.247296322999279,0.6712328767123288
thalcp >= 1.5 & comcp < 1.5 & thalcp < 2.5,1.0,0.39097744360902253,0.6842105263157895,0.2675108824693312,0.6842105263157895
thalachcp >= 110.0 & agecp >= 37.5 & comcp < 1.5 & thalcp < 2.5,1.0,0.38345864661654133,0.6710526315789473,0.2573209339137317,0.6710526315789473
thalachcp >= 110.0 & comcp < 1.5 & thalcp < 2.5,1.0,0.40601503759398494,0.6835443037974683,0.2775292662034834,0.6835443037974683
agecp >= 37.5 & comcp < 1.5 & thalcp < 2.5,1.0,0.38345864661654133,0.6144578313253012,0.23561916840293504,0.6144578313253012
comcp < 1.5 & thalcp < 2.5,1.0,0.40601503759398494,0.627906976744186,0.25493967476831614,0.627906976744186
thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5 & comcp < 1.5,1.0,0.44360902255639095,0.46825396825396826,0.20772168516529418,0.46825396825396826
thalcp >= 1.5 & thalachcp >= 110.0 & comcp < 1.5,1.0,0.46616541353383456,0.4732824427480916,0.22062790564196752,0.4732824427480916
thalcp >= 1.5 & agecp >= 37.5 & comcp < 1.5,1.0,0.44360902255639095,0.4338235294117647,0.19244803184431666,0.4338235294117647
thalcp >= 1.5 & comcp < 1.5,1.0,0.46616541353383456,0.4397163120567376,0.20498053644750172,0.4397163120567376
thalachcp >= 110.0 & agecp >= 37.5 & comcp < 1.5,1.0,0.45864661654135336,0.4552238805970149,0.20878689260464592,0.4552238805970149
thalachcp >= 110.0 & comcp < 1.5,1.0,0.48120300751879697,0.460431654676259,0.221561096987072,0.460431654676259
oldpeakcp < 2.3499999999999996,1.0,0.9924812030075187,0.6255924170616114,0.6208887146776895,0.6255924170616114
agecp >= 37.5 & oldpeakcp < 2.3499999999999996,1.0,0.9548872180451128,0.6225490196078431,0.5944641014300457,0.6225490196078431
thalachcp >= 110.0 & oldpeakcp < 2.3499999999999996,1.0,0.9849624060150376,0.6616161616161617,0.6516670464038885,0.6616161616161617
thalachcp >= 110.0 & agecp >= 37.5 & oldpeakcp < 2.3499999999999996,1.0,0.9473684210526315,0.6596858638743456,0.62496555524938,0.6596858638743456
thalcp >= 1.5 & oldpeakcp < 2.3499999999999996,1.0,0.9548872180451128,0.6414141414141414,0.6124781651097441,0.6414141414141414
thalcp >= 1.5 & agecp >= 37.5 & oldpeakcp < 2.3499999999999996,1.0,0.9172932330827067,0.6387434554973822,0.5859150494036137,0.6387434554973822
thalcp >= 1.5 & thalachcp >= 110.0 & oldpeakcp < 2.3499999999999996,1.0,0.9473684210526315,0.6737967914438503,0.6383338024204898,0.6737967914438503
thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5 & oldpeakcp < 2.3499999999999996,1.0,0.9097744360902256,0.6722222222222223,0.6115705931495405,0.6722222222222223
oldpeakcp < 2.3499999999999996 & thalcp < 2.5,1.0,0.8270676691729323,0.7638888888888888,0.6317878028404343,0.7638888888888888
agecp >= 37.5 & oldpeakcp < 2.3499999999999996 & thalcp < 2.5,1.0,0.7894736842105263,0.7553956834532374,0.5963650132525559,0.7553956834532374
thalachcp >= 110.0 & oldpeakcp < 2.3499999999999996 & thalcp < 2.5,1.0,0.8195488721804511,0.7956204379562044,0.6520498326107239,0.7956204379562044
thalachcp >= 110.0 & agecp >= 37.5 & oldpeakcp < 2.3499999999999996 & thalcp < 2.5,1.0,0.7819548872180451,0.7878787878787878,0.6160856687172476,0.7878787878787878
thalcp >= 1.5 & oldpeakcp < 2.3499999999999996 & thalcp < 2.5,1.0,0.7894736842105263,0.8015267175572519,0.6327842507030936,0.8015267175572519
thalcp >= 1.5 & agecp >= 37.5 & oldpeakcp < 2.3499999999999996 & thalcp < 2.5,1.0,0.7518796992481203,0.7936507936507936,0.5967299200381907,0.7936507936507936
thalcp >= 1.5 & thalachcp >= 110.0 & oldpeakcp < 2.3499999999999996 & thalcp < 2.5,1.0,0.7819548872180451,0.8253968253968254,0.645423081513307,0.8253968253968254
thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5 & oldpeakcp < 2.3499999999999996 & thalcp < 2.5,1.0,0.7443609022556391,0.8181818181818182,0.6090225563909775,0.8181818181818182
oldpeakcp < 2.3499999999999996 & comcp < 1.5,1.0,0.48120300751879697,0.5,0.24060150375939848,0.5
agecp >= 37.5 & oldpeakcp < 2.3499999999999996 & comcp < 1.5,1.0,0.45864661654135336,0.4959349593495935,0.22745889113026466,0.4959349593495935
thalachcp >= 110.0 & oldpeakcp < 2.3499999999999996 & comcp < 1.5,1.0,0.48120300751879697,0.5470085470085471,0.26322215795900006,0.5470085470085471
thalachcp >= 110.0 & agecp >= 37.5 & oldpeakcp < 2.3499999999999996 & comcp < 1.5,1.0,0.45864661654135336,0.5446428571428571,0.24979860365198708,0.5446428571428571
thalcp >= 1.5 & oldpeakcp < 2.3499999999999996 & comcp < 1.5,1.0,0.46616541353383456,0.5166666666666667,0.24085213032581454,0.5166666666666667
thalcp >= 1.5 & agecp >= 37.5 & oldpeakcp < 2.3499999999999996 & comcp < 1.5,1.0,0.44360902255639095,0.5130434782608696,0.2275907159202354,0.5130434782608696
thalcp >= 1.5 & thalachcp >= 110.0 & oldpeakcp < 2.3499999999999996 & comcp < 1.5,1.0,0.46616541353383456,0.5585585585585585,0.260380681433313,0.5585585585585585
thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5 & oldpeakcp < 2.3499999999999996 & comcp < 1.5,1.0,0.44360902255639095,0.5566037735849056,0.24691445595119874,0.5566037735849056
oldpeakcp < 2.3499999999999996 & comcp < 1.5 & thalcp < 2.5,1.0,0.40601503759398494,0.6666666666666666,0.2706766917293233,0.6666666666666666
agecp >= 37.5 & oldpeakcp < 2.3499999999999996 & comcp < 1.5 & thalcp < 2.5,1.0,0.38345864661654133,0.6538461538461539,0.250722961249277,0.6538461538461539
thalachcp >= 110.0 & oldpeakcp < 2.3499999999999996 & comcp < 1.5 & thalcp < 2.5,1.0,0.40601503759398494,0.72,0.29233082706766916,0.72
thalachcp >= 110.0 & agecp >= 37.5 & oldpeakcp < 2.3499999999999996 & comcp < 1.5 & thalcp < 2.5,1.0,0.38345864661654133,0.7083333333333334,0.2716165413533835,0.7083333333333334
thalcp >= 1.5 & oldpeakcp < 2.3499999999999996 & comcp < 1.5 & thalcp < 2.5,1.0,0.39097744360902253,0.7123287671232876,0.27850448037902975,0.7123287671232876
thalcp >= 1.5 & agecp >= 37.5 & oldpeakcp < 2.3499999999999996 & comcp < 1.5 & thalcp < 2.5,1.0,0.3684210526315789,0.7,0.25789473684210523,0.7
thalcp >= 1.5 & thalachcp >= 110.0 & oldpeakcp < 2.3499999999999996 & comcp < 1.5 & thalcp < 2.5,1.0,0.39097744360902253,0.7536231884057971,0.2946496676473793,0.7536231884057971
thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5 & oldpeakcp < 2.3499999999999996 & comcp < 1.5 & thalcp < 2.5,1.0,0.3684210526315789,0.7424242424242424,0.27352472089314195,0.7424242424242424
thalcp < 2.5,1.0,0.8345864661654135,0.7254901960784313,0.605484298982751,0.7254901960784313
agecp >= 37.5 & thalcp < 2.5,1.0,0.7894736842105263,0.7142857142857143,0.5639097744360902,0.7142857142857143
thalachcp >= 110.0 & thalcp < 2.5,1.0,0.8270676691729323,0.7586206896551724,0.6274306455794658,0.7586206896551724
thalachcp >= 110.0 & agecp >= 37.5 & thalcp < 2.5,1.0,0.7819548872180451,0.7482014388489209,0.5850597717314869,0.7482014388489209
thalcp >= 1.5 & thalcp < 2.5,1.0,0.7969924812030075,0.7681159420289855,0.6121826304892666,0.7681159420289855
thalcp >= 1.5 & agecp >= 37.5 & thalcp < 2.5,1.0,0.7518796992481203,0.7575757575757576,0.5696058327637274,0.7575757575757576
thalcp >= 1.5 & thalachcp >= 110.0 & thalcp < 2.5,1.0,0.7894736842105263,0.7954545454545454,0.6279904306220095,0.7954545454545454
thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5 & thalcp < 2.5,1.0,0.7443609022556391,0.7857142857142857,0.5848549946294307,0.7857142857142857
thalcp >= 1.5,1.0,0.9624060150375939,0.5638766519823789,0.5426782816071015,0.5638766519823789
thalcp >= 1.5 & agecp >= 37.5,1.0,0.9172932330827067,0.5570776255707762,0.5110035362378549,0.5570776255707762
thalcp >= 1.5 & thalachcp >= 110.0,1.0,0.9548872180451128,0.5906976744186047,0.5640496590312992,0.5906976744186047
thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5,1.0,0.9097744360902256,0.5845410628019324,0.5318005157822092,0.5845410628019324
agecp >= 37.5 & comcp < 1.5,1.0,0.45864661654135336,0.4178082191780822,0.19162632608919558,0.4178082191780822
thalachcp >= 110.0,1.0,0.9924812030075187,0.5789473684210527,0.5745943806885635,0.5789473684210527
thalachcp >= 110.0 & agecp >= 37.5,1.0,0.9473684210526315,0.5727272727272728,0.5425837320574163,0.5727272727272728
comcp < 1.5,1.0,0.48120300751879697,0.423841059602649,0.20395359259074838,0.423841059602649
cholcp >= 231.5 & thalcp >= 1.5 & oldpeakcp < 2.3499999999999996,0.8333333333333334,0.5413533834586466,0.6101694915254238,0.33031731872053016,0.5084745762711865
cholcp >= 231.5 & thalachcp >= 110.0 & agecp >= 37.5 & oldpeakcp < 2.3499999999999996,0.8333333333333334,0.5488721804511278,0.6403508771929824,0.35147078221870465,0.5336257309941521
cholcp >= 231.5 & thalachcp >= 110.0 & oldpeakcp < 2.3499999999999996,0.8333333333333334,0.5488721804511278,0.6347826086956522,0.34841451454723765,0.5289855072463768
cholcp >= 231.5 & agecp >= 37.5 & oldpeakcp < 2.3499999999999996,0.8333333333333334,0.5488721804511278,0.5983606557377049,0.3284235178109208,0.49863387978142076
cholcp >= 231.5 & oldpeakcp < 2.3499999999999996,0.8333333333333334,0.5488721804511278,0.5934959349593496,0.32575340791001894,0.494579945799458
cholcp >= 231.5 & thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5,0.8333333333333334,0.5413533834586466,0.5806451612903226,0.3143342226534077,0.48387096774193555
