rule,normalized_support
thalcp >= 1.5 & agecp >= 37.5,1.0
thalcp >= 1.5,1.0
thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5,1.0
thalachcp < 160.5,1.0
agecp >= 37.5 & thalachcp < 160.5,1.0
thalachcp >= 110.0,1.0
thalcp >= 1.5 & thalachcp >= 110.0,1.0
thalachcp >= 110.0 & thalachcp < 160.5,1.0
thalachcp >= 110.0 & agecp >= 37.5 & thalachcp < 160.5,1.0
thalcp >= 1.5 & thalachcp < 160.5,1.0
thalcp >= 1.5 & agecp >= 37.5 & thalachcp < 160.5,1.0
agecp >= 37.5,1.0
thalcp >= 1.5 & thalachcp >= 110.0 & thalachcp < 160.5,1.0
thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5 & thalachcp < 160.5,1.0
thalachcp >= 110.0 & agecp >= 37.5,1.0
agecp >= 56.5 & oldpeakcp < 2.3499999999999996 & thalachcp < 160.5,0.75
agecp >= 56.5 & thalachcp >= 110.0 & oldpeakcp < 2.3499999999999996 & thalachcp < 160.5,0.75
agecp >= 56.5 & thalcp >= 1.5 & oldpeakcp < 2.3499999999999996 & thalachcp < 160.5,0.75
trestbpscp >= 129.0 & thalcp >= 1.5 & cacp < 0.5 & thalachcp < 160.5,0.75
agecp >= 56.5 & thalcp >= 1.5 & thalachcp >= 110.0 & oldpeakcp < 2.3499999999999996 & thalachcp < 160.5,0.75
thalcp >= 1.5 & thalachcp >= 110.0 & cholcp < 272.5 & thalachcp < 160.5,0.75
thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5 & cholcp < 272.5 & thalachcp < 160.5,0.75
oldpeakcp >= 0.55 & cholcp < 272.5 & thalachcp < 160.5,0.75
oldpeakcp >= 0.55 & agecp >= 37.5 & cholcp < 272.5 & thalachcp < 160.5,0.75
oldpeakcp >= 0.55 & thalachcp >= 110.0 & cholcp < 272.5 & thalachcp < 160.5,0.75
oldpeakcp >= 0.55 & thalachcp >= 110.0 & agecp >= 37.5 & cholcp < 272.5 & thalachcp < 160.5,0.75
oldpeakcp >= 0.55 & thalcp >= 1.5 & cholcp < 272.5 & thalachcp < 160.5,0.75
oldpeakcp >= 0.55 & thalcp >= 1.5 & agecp >= 37.5 & cholcp < 272.5 & thalachcp < 160.5,0.75
oldpeakcp >= 0.55 & thalcp >= 1.5 & thalachcp >= 110.0 & cholcp < 272.5 & thalachcp < 160.5,0.75
oldpeakcp >= 0.55 & thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5 & cholcp < 272.5 & thalachcp < 160.5,0.75
