rule,normalized_support
agecp=37.5,0.981651376146789
exangcp=0.5,0.5412844036697247
exangcp=0.5 & agecp=37.5,0.5229357798165137
thalachcp=110.0,0.8807339449541285
thalachcp=110.0 & agecp=37.5,0.8623853211009175
thalachcp=110.0 & thalcp=1.5,0.8073394495412844
thalachcp=110.0 & thalcp=1.5 & agecp=37.5,0.7889908256880734
cacp=0.5,0.6605504587155964
cacp=0.5 & agecp=37.5,0.6605504587155964
cacp=0.5 & thalachcp=110.0,0.5412844036697247
cacp=0.5 & thalachcp=110.0 & agecp=37.5,0.5412844036697247
cacp=0.5 & thalcp=1.5,0.5871559633027523
cacp=0.5 & thalcp=1.5 & agecp=37.5,0.5871559633027523
cacp=0.5 & oldpeakcp=0.55,0.5045871559633027
cacp=0.5 & oldpeakcp=0.55 & agecp=37.5,0.5045871559633027
cacp=0.5 & !comcp=1.5,0.5412844036697247
cacp=0.5 & !comcp=1.5 & agecp=37.5,0.5412844036697247
thalcp=1.5,0.908256880733945
thalcp=1.5 & agecp=37.5,0.8899082568807339
thalcp=2.5,0.6146788990825688
thalcp=2.5 & agecp=37.5,0.5963302752293578
thalcp=2.5 & thalachcp=110.0,0.5596330275229358
thalcp=2.5 & thalachcp=110.0 & agecp=37.5,0.5412844036697247
thalcp=2.5 & thalachcp=110.0 & thalcp=1.5,0.5596330275229358
thalcp=2.5 & thalachcp=110.0 & thalcp=1.5 & agecp=37.5,0.5412844036697247
thalcp=2.5 & thalcp=1.5,0.6146788990825688
thalcp=2.5 & thalcp=1.5 & agecp=37.5,0.5963302752293578
thalcp=2.5 & oldpeakcp=0.55,0.5045871559633027
thalcp=2.5 & oldpeakcp=0.55 & thalcp=1.5,0.5045871559633027
thalcp=2.5 & !comcp=1.5,0.5045871559633027
thalcp=2.5 & !comcp=1.5 & thalcp=1.5,0.5045871559633027
agecp=56.5,0.6238532110091743
agecp=56.5 & agecp=37.5,0.6238532110091743
agecp=56.5 & thalachcp=110.0,0.5412844036697247
agecp=56.5 & thalachcp=110.0 & agecp=37.5,0.5412844036697247
agecp=56.5 & thalcp=1.5,0.5688073394495413
agecp=56.5 & thalcp=1.5 & agecp=37.5,0.5688073394495413
oldpeakcp=0.55,0.7522935779816514
oldpeakcp=0.55 & agecp=37.5,0.7431192660550459
oldpeakcp=0.55 & thalachcp=110.0,0.6422018348623854
oldpeakcp=0.55 & thalachcp=110.0 & agecp=37.5,0.6330275229357798
oldpeakcp=0.55 & thalachcp=110.0 & thalcp=1.5,0.5779816513761468
oldpeakcp=0.55 & thalachcp=110.0 & thalcp=1.5 & agecp=37.5,0.5688073394495413
oldpeakcp=0.55 & thalcp=1.5,0.6697247706422018
oldpeakcp=0.55 & thalcp=1.5 & agecp=37.5,0.6605504587155964
oldpeakcp=0.55 & !thalachcp=160.5,0.6422018348623854
oldpeakcp=0.55 & !thalachcp=160.5 & agecp=37.5,0.6330275229357798
oldpeakcp=0.55 & !thalachcp=160.5 & thalachcp=110.0,0.5321100917431193
oldpeakcp=0.55 & !thalachcp=160.5 & thalachcp=110.0 & agecp=37.5,0.5229357798165137
oldpeakcp=0.55 & !thalachcp=160.5 & thalcp=1.5,0.5596330275229358
oldpeakcp=0.55 & !thalachcp=160.5 & thalcp=1.5 & agecp=37.5,0.5504587155963303
oldpeakcp=0.55 & !thalachcp=160.5 & !comcp=1.5,0.5229357798165137
oldpeakcp=0.55 & !thalachcp=160.5 & !comcp=1.5 & agecp=37.5,0.5137614678899083
oldpeakcp=0.55 & !comcp=1.5,0.5779816513761468
oldpeakcp=0.55 & !comcp=1.5 & agecp=37.5,0.5688073394495413
oldpeakcp=0.55 & !comcp=1.5 & thalcp=1.5,0.5137614678899083
oldpeakcp=0.55 & !comcp=1.5 & thalcp=1.5 & agecp=37.5,0.5045871559633027
cholcp=231.5,0.6146788990825688
cholcp=231.5 & agecp=37.5,0.6055045871559633
cholcp=231.5 & thalachcp=110.0,0.5321100917431193
cholcp=231.5 & thalachcp=110.0 & agecp=37.5,0.5229357798165137
cholcp=231.5 & thalcp=1.5,0.5688073394495413
cholcp=231.5 & thalcp=1.5 & agecp=37.5,0.5596330275229358
cholcp=231.5 & !comcp=1.5,0.5137614678899083
cholcp=231.5 & !comcp=1.5 & agecp=37.5,0.5045871559633027
trestbpscp=129.0,0.5321100917431193
trestbpscp=129.0 & agecp=37.5,0.5321100917431193
!oldpeakcp=2.3499999999999996,0.7247706422018348
!oldpeakcp=2.3499999999999996 & agecp=37.5,0.7064220183486238
!oldpeakcp=2.3499999999999996 & thalachcp=110.0,0.6146788990825688
!oldpeakcp=2.3499999999999996 & thalachcp=110.0 & agecp=37.5,0.5963302752293578
!oldpeakcp=2.3499999999999996 & thalachcp=110.0 & thalcp=1.5,0.5596330275229358
!oldpeakcp=2.3499999999999996 & thalachcp=110.0 & thalcp=1.5 & agecp=37.5,0.5412844036697247
!oldpeakcp=2.3499999999999996 & thalcp=1.5,0.6513761467889908
!oldpeakcp=2.3499999999999996 & thalcp=1.5 & agecp=37.5,0.6330275229357798
!oldpeakcp=2.3499999999999996 & !thalachcp=160.5,0.5412844036697247
!oldpeakcp=2.3499999999999996 & !thalachcp=160.5 & agecp=37.5,0.5229357798165137
!oldpeakcp=2.3499999999999996 & !comcp=1.5,0.5871559633027523
!oldpeakcp=2.3499999999999996 & !comcp=1.5 & agecp=37.5,0.5688073394495413
!oldpeakcp=2.3499999999999996 & !comcp=1.5 & thalcp=1.5,0.5321100917431193
!oldpeakcp=2.3499999999999996 & !comcp=1.5 & thalcp=1.5 & agecp=37.5,0.5137614678899083
!comcp=0.5,0.7155963302752294
!comcp=0.5 & agecp=37.5,0.6972477064220184
!comcp=0.5 & thalachcp=110.0,0.6146788990825688
!comcp=0.5 & thalachcp=110.0 & agecp=37.5,0.5963302752293578
!comcp=0.5 & thalachcp=110.0 & thalcp=1.5,0.5688073394495413
!comcp=0.5 & thalachcp=110.0 & thalcp=1.5 & agecp=37.5,0.5504587155963303
!comcp=0.5 & thalcp=1.5,0.6513761467889908
!comcp=0.5 & thalcp=1.5 & agecp=37.5,0.6330275229357798
!comcp=0.5 & oldpeakcp=0.55,0.5504587155963303
!comcp=0.5 & oldpeakcp=0.55 & agecp=37.5,0.5412844036697247
!comcp=0.5 & oldpeakcp=0.55 & !thalachcp=160.5,0.5045871559633027
!comcp=0.5 & oldpeakcp=0.55 & !thalachcp=160.5 & !comcp=1.5,0.5045871559633027
!comcp=0.5 & oldpeakcp=0.55 & !comcp=1.5,0.5504587155963303
!comcp=0.5 & oldpeakcp=0.55 & !comcp=1.5 & agecp=37.5,0.5412844036697247
!comcp=0.5 & !oldpeakcp=2.3499999999999996,0.5045871559633027
!comcp=0.5 & !oldpeakcp=2.3499999999999996 & !comcp=1.5,0.5045871559633027
!comcp=0.5 & !thalachcp=160.5,0.5963302752293578
!comcp=0.5 & !thalachcp=160.5 & agecp=37.5,0.5779816513761468
!comcp=0.5 & !thalachcp=160.5 & thalcp=1.5,0.5321100917431193
!comcp=0.5 & !thalachcp=160.5 & thalcp=1.5 & agecp=37.5,0.5137614678899083
!comcp=0.5 & !thalachcp=160.5 & !comcp=1.5,0.5963302752293578
!comcp=0.5 & !thalachcp=160.5 & !comcp=1.5 & agecp=37.5,0.5779816513761468
!comcp=0.5 & !thalachcp=160.5 & !comcp=1.5 & thalcp=1.5,0.5321100917431193
!comcp=0.5 & !thalachcp=160.5 & !comcp=1.5 & thalcp=1.5 & agecp=37.5,0.5137614678899083
!comcp=0.5 & !comcp=1.5,0.7155963302752294
!comcp=0.5 & !comcp=1.5 & agecp=37.5,0.6972477064220184
!comcp=0.5 & !comcp=1.5 & thalachcp=110.0,0.6146788990825688
!comcp=0.5 & !comcp=1.5 & thalachcp=110.0 & agecp=37.5,0.5963302752293578
!comcp=0.5 & !comcp=1.5 & thalachcp=110.0 & thalcp=1.5,0.5688073394495413
!comcp=0.5 & !comcp=1.5 & thalachcp=110.0 & thalcp=1.5 & agecp=37.5,0.5504587155963303
!comcp=0.5 & !comcp=1.5 & thalcp=1.5,0.6513761467889908
!comcp=0.5 & !comcp=1.5 & thalcp=1.5 & agecp=37.5,0.6330275229357798
!cholcp=272.5,0.6880733944954128
!cholcp=272.5 & agecp=37.5,0.6788990825688074
!cholcp=272.5 & thalachcp=110.0,0.6238532110091743
!cholcp=272.5 & thalachcp=110.0 & agecp=37.5,0.6146788990825688
!cholcp=272.5 & thalachcp=110.0 & thalcp=1.5,0.5688073394495413
!cholcp=272.5 & thalachcp=110.0 & thalcp=1.5 & agecp=37.5,0.5596330275229358
!cholcp=272.5 & thalcp=1.5,0.6146788990825688
!cholcp=272.5 & thalcp=1.5 & agecp=37.5,0.6055045871559633
!cholcp=272.5 & oldpeakcp=0.55,0.5137614678899083
!cholcp=272.5 & oldpeakcp=0.55 & agecp=37.5,0.5045871559633027
!cholcp=272.5 & !thalachcp=160.5,0.5412844036697247
!cholcp=272.5 & !thalachcp=160.5 & agecp=37.5,0.5321100917431193
!cholcp=272.5 & !comcp=1.5,0.5229357798165137
!cholcp=272.5 & !comcp=1.5 & agecp=37.5,0.5137614678899083
!thalachcp=160.5,0.7889908256880734
!thalachcp=160.5 & agecp=37.5,0.7706422018348624
!thalachcp=160.5 & thalachcp=110.0,0.6697247706422018
!thalachcp=160.5 & thalachcp=110.0 & agecp=37.5,0.6513761467889908
!thalachcp=160.5 & thalachcp=110.0 & thalcp=1.5,0.5963302752293578
!thalachcp=160.5 & thalachcp=110.0 & thalcp=1.5 & agecp=37.5,0.5779816513761468
!thalachcp=160.5 & thalcp=1.5,0.6972477064220184
!thalachcp=160.5 & thalcp=1.5 & agecp=37.5,0.6788990825688074
!thalachcp=160.5 & !comcp=1.5,0.6422018348623854
!thalachcp=160.5 & !comcp=1.5 & agecp=37.5,0.6238532110091743
!thalachcp=160.5 & !comcp=1.5 & thalachcp=110.0,0.5321100917431193
!thalachcp=160.5 & !comcp=1.5 & thalachcp=110.0 & agecp=37.5,0.5137614678899083
!thalachcp=160.5 & !comcp=1.5 & thalcp=1.5,0.5688073394495413
!thalachcp=160.5 & !comcp=1.5 & thalcp=1.5 & agecp=37.5,0.5504587155963303
!comcp=1.5,0.7981651376146789
!comcp=1.5 & agecp=37.5,0.7798165137614679
!comcp=1.5 & thalachcp=110.0,0.6880733944954128
!comcp=1.5 & thalachcp=110.0 & agecp=37.5,0.6697247706422018
!comcp=1.5 & thalachcp=110.0 & thalcp=1.5,0.6330275229357798
!comcp=1.5 & thalachcp=110.0 & thalcp=1.5 & agecp=37.5,0.6146788990825688
!comcp=1.5 & thalcp=1.5,0.7247706422018348
!comcp=1.5 & thalcp=1.5 & agecp=37.5,0.7064220183486238
