rule,normalized_support,coverage,h_value,ch_value,oh_value
agecp >= 37.5,0.981651376146789,0.981651376146789,0.45726495726495725,0.44887477456284797,0.44887477456284797
thalcp >= 1.5,0.908256880733945,0.908256880733945,0.43612334801762115,0.3961120316857293,0.3961120316857293
thalcp >= 1.5 & agecp >= 37.5,0.8899082568807339,0.8899082568807339,0.4429223744292237,0.3941602781617862,0.3941602781617862
thalachcp >= 110.0,0.8807339449541285,0.8807339449541285,0.42105263157894735,0.37083534524384354,0.37083534524384354
thalachcp >= 110.0 & agecp >= 37.5,0.8623853211009175,0.8623853211009175,0.42727272727272725,0.3684737281067556,0.3684737281067556
thalachcp >= 110.0 & thalcp >= 1.5,0.8073394495412844,0.8073394495412844,0.40930232558139534,0.3304459142308513,0.3304459142308513
thalachcp >= 110.0 & thalcp >= 1.5 & agecp >= 37.5,0.7889908256880734,0.7889908256880734,0.41545893719806765,0.3277932898993928,0.3277932898993928
oldpeakcp >= 0.55,0.7522935779816514,0.7522935779816514,0.5985401459854015,0.4502779079890177,0.4502779079890177
oldpeakcp >= 0.55 & agecp >= 37.5,0.7431192660550459,0.7431192660550459,0.6044776119402985,0.44919895933178144,0.44919895933178144
oldpeakcp >= 0.55 & thalcp >= 1.5,0.6697247706422018,0.6697247706422018,0.584,0.3911192660550458,0.3911192660550458
oldpeakcp >= 0.55 & thalcp >= 1.5 & agecp >= 37.5,0.6605504587155964,0.6605504587155964,0.5901639344262295,0.389833057602647,0.389833057602647
cacp >= 0.5,0.6605504587155964,0.6605504587155964,0.7346938775510204,0.48530237783186675,0.48530237783186675
cacp >= 0.5 & agecp >= 37.5,0.6605504587155964,0.6605504587155964,0.7346938775510204,0.48530237783186675,0.48530237783186675
oldpeakcp >= 0.55 & thalachcp >= 110.0,0.6422018348623854,0.6422018348623854,0.56,0.35963302752293586,0.35963302752293586
oldpeakcp >= 0.55 & thalachcp >= 110.0 & agecp >= 37.5,0.6330275229357798,0.6330275229357798,0.5655737704918032,0.35802376297187544,0.35802376297187544
agecp >= 56.5,0.6238532110091743,0.6238532110091743,0.6017699115044248,0.37541609158074213,0.37541609158074213
thalcp >= 2.5,0.6146788990825688,0.6146788990825688,0.7528089887640449,0.462735800432945,0.462735800432945
cholcp >= 231.5,0.6146788990825688,0.6146788990825688,0.475177304964539,0.29208146268462487,0.29208146268462487
cholcp >= 231.5 & agecp >= 37.5,0.6055045871559633,0.6055045871559633,0.4748201438848921,0.28750577519635667,0.28750577519635667
thalcp >= 2.5 & agecp >= 37.5,0.5963302752293578,0.5963302752293578,0.7471264367816092,0.4455341136771064,0.4455341136771064
cacp >= 0.5 & thalcp >= 1.5,0.5871559633027523,0.5871559633027523,0.7111111111111111,0.41753312945973503,0.41753312945973503
cacp >= 0.5 & thalcp >= 1.5 & agecp >= 37.5,0.5871559633027523,0.5871559633027523,0.7111111111111111,0.41753312945973503,0.41753312945973503
oldpeakcp >= 0.55 & thalachcp >= 110.0 & thalcp >= 1.5,0.5779816513761468,0.5779816513761468,0.5478260869565217,0.31663342640606296,0.31663342640606296
oldpeakcp >= 0.55 & thalachcp >= 110.0 & thalcp >= 1.5 & agecp >= 37.5,0.5688073394495413,0.5688073394495413,0.5535714285714286,0.3148754914809961,0.3148754914809961
cholcp >= 231.5 & thalcp >= 1.5,0.5688073394495413,0.5688073394495413,0.45925925925925926,0.2612300373768264,0.2612300373768264
agecp >= 56.5 & thalcp >= 1.5,0.5688073394495413,0.5688073394495413,0.5961538461538461,0.33909668313338037,0.33909668313338037
thalcp >= 2.5 & thalachcp >= 110.0,0.5596330275229358,0.5596330275229358,0.7349397590361446,0.41129656239637447,0.41129656239637447
cholcp >= 231.5 & thalcp >= 1.5 & agecp >= 37.5,0.5596330275229358,0.5596330275229358,0.45864661654135336,0.25667379457818856,0.25667379457818856
agecp >= 56.5 & thalachcp >= 110.0,0.5412844036697247,0.5412844036697247,0.5728155339805825,0.31005611472343453,0.31005611472343453
thalcp >= 2.5 & thalachcp >= 110.0 & agecp >= 37.5,0.5412844036697247,0.5412844036697247,0.7283950617283951,0.3942688866236267,0.3942688866236267
cacp >= 0.5 & thalachcp >= 110.0 & agecp >= 37.5,0.5412844036697247,0.5412844036697247,0.6941176470588235,0.37571505666486776,0.37571505666486776
exangcp >= 0.5,0.5412844036697247,0.5412844036697247,0.7763157894736842,0.4202076291646547,0.4202076291646547
cacp >= 0.5 & thalachcp >= 110.0,0.5412844036697247,0.5412844036697247,0.6941176470588235,0.37571505666486776,0.37571505666486776
cholcp >= 231.5 & thalachcp >= 110.0,0.5321100917431193,0.5321100917431193,0.4393939393939394,0.2338059494022797,0.2338059494022797
trestbpscp >= 129.0,0.5321100917431193,0.5321100917431193,0.44274809160305345,0.23559072764199177,0.23559072764199177
trestbpscp >= 129.0 & agecp >= 37.5,0.5321100917431193,0.5321100917431193,0.453125,0.24111238532110094,0.24111238532110094
exangcp >= 0.5 & agecp >= 37.5,0.5229357798165137,0.5229357798165137,0.7702702702702703,0.4028018844532606,0.4028018844532606
cholcp >= 231.5 & thalachcp >= 110.0 & agecp >= 37.5,0.5229357798165137,0.5229357798165137,0.43846153846153846,0.22928722653493294,0.22928722653493294
