rule,normalized_support
oldpeakcp=2.3499999999999996,0.27522935779816515
oldpeakcp=2.3499999999999996 & agecp=37.5,0.27522935779816515
oldpeakcp=2.3499999999999996 & thalachcp=110.0,0.26605504587155965
oldpeakcp=2.3499999999999996 & thalachcp=110.0 & agecp=37.5,0.26605504587155965
oldpeakcp=2.3499999999999996 & thalcp=1.5,0.25688073394495414
oldpeakcp=2.3499999999999996 & thalcp=1.5 & agecp=37.5,0.25688073394495414
oldpeakcp=2.3499999999999996 & oldpeakcp=0.55,0.27522935779816515
oldpeakcp=2.3499999999999996 & oldpeakcp=0.55 & agecp=37.5,0.27522935779816515
oldpeakcp=2.3499999999999996 & oldpeakcp=0.55 & thalachcp=110.0,0.26605504587155965
oldpeakcp=2.3499999999999996 & oldpeakcp=0.55 & thalachcp=110.0 & agecp=37.5,0.26605504587155965
oldpeakcp=2.3499999999999996 & oldpeakcp=0.55 & thalcp=1.5,0.25688073394495414
oldpeakcp=2.3499999999999996 & oldpeakcp=0.55 & thalcp=1.5 & agecp=37.5,0.25688073394495414
agecp=37.5,0.981651376146789
exangcp=0.5,0.5412844036697247
exangcp=0.5 & agecp=37.5,0.5229357798165137
exangcp=0.5 & thalachcp=110.0,0.47706422018348627
exangcp=0.5 & thalachcp=110.0 & agecp=37.5,0.45871559633027525
exangcp=0.5 & thalachcp=110.0 & thalcp=1.5,0.44036697247706424
exangcp=0.5 & thalachcp=110.0 & thalcp=1.5 & agecp=37.5,0.42201834862385323
exangcp=0.5 & cacp=0.5,0.3302752293577982
exangcp=0.5 & cacp=0.5 & agecp=37.5,0.3302752293577982
exangcp=0.5 & cacp=0.5 & thalachcp=110.0,0.26605504587155965
exangcp=0.5 & cacp=0.5 & thalachcp=110.0 & agecp=37.5,0.26605504587155965
exangcp=0.5 & cacp=0.5 & thalcp=1.5,0.30275229357798167
exangcp=0.5 & cacp=0.5 & thalcp=1.5 & agecp=37.5,0.30275229357798167
exangcp=0.5 & cacp=0.5 & oldpeakcp=0.55,0.27522935779816515
exangcp=0.5 & cacp=0.5 & oldpeakcp=0.55 & agecp=37.5,0.27522935779816515
exangcp=0.5 & cacp=0.5 & oldpeakcp=0.55 & thalcp=1.5,0.25688073394495414
exangcp=0.5 & cacp=0.5 & oldpeakcp=0.55 & thalcp=1.5 & agecp=37.5,0.25688073394495414
exangcp=0.5 & thalcp=1.5,0.4954128440366973
exangcp=0.5 & thalcp=1.5 & agecp=37.5,0.47706422018348627
exangcp=0.5 & thalcp=2.5,0.3761467889908257
exangcp=0.5 & thalcp=2.5 & agecp=37.5,0.3577981651376147
exangcp=0.5 & thalcp=2.5 & thalachcp=110.0,0.3486238532110092
exangcp=0.5 & thalcp=2.5 & thalachcp=110.0 & agecp=37.5,0.3302752293577982
exangcp=0.5 & thalcp=2.5 & thalachcp=110.0 & thalcp=1.5,0.3486238532110092
exangcp=0.5 & thalcp=2.5 & thalachcp=110.0 & thalcp=1.5 & agecp=37.5,0.3302752293577982
exangcp=0.5 & thalcp=2.5 & thalcp=1.5,0.3761467889908257
exangcp=0.5 & thalcp=2.5 & thalcp=1.5 & agecp=37.5,0.3577981651376147
exangcp=0.5 & thalcp=2.5 & oldpeakcp=0.55,0.3394495412844037
exangcp=0.5 & thalcp=2.5 & oldpeakcp=0.55 & agecp=37.5,0.3302752293577982
exangcp=0.5 & thalcp=2.5 & oldpeakcp=0.55 & thalachcp=110.0,0.3119266055045872
exangcp=0.5 & thalcp=2.5 & oldpeakcp=0.55 & thalachcp=110.0 & agecp=37.5,0.30275229357798167
exangcp=0.5 & thalcp=2.5 & oldpeakcp=0.55 & thalachcp=110.0 & thalcp=1.5,0.3119266055045872
exangcp=0.5 & thalcp=2.5 & oldpeakcp=0.55 & thalachcp=110.0 & thalcp=1.5 & agecp=37.5,0.30275229357798167
exangcp=0.5 & thalcp=2.5 & oldpeakcp=0.55 & thalcp=1.5,0.3394495412844037
exangcp=0.5 & thalcp=2.5 & oldpeakcp=0.55 & thalcp=1.5 & agecp=37.5,0.3302752293577982
exangcp=0.5 & agecp=56.5,0.3119266055045872
exangcp=0.5 & agecp=56.5 & agecp=37.5,0.3119266055045872
exangcp=0.5 & agecp=56.5 & thalachcp=110.0,0.28440366972477066
exangcp=0.5 & agecp=56.5 & thalachcp=110.0 & agecp=37.5,0.28440366972477066
exangcp=0.5 & agecp=56.5 & thalachcp=110.0 & thalcp=1.5,0.27522935779816515
exangcp=0.5 & agecp=56.5 & thalachcp=110.0 & thalcp=1.5 & agecp=37.5,0.27522935779816515
exangcp=0.5 & agecp=56.5 & thalcp=1.5,0.30275229357798167
exangcp=0.5 & agecp=56.5 & thalcp=1.5 & agecp=37.5,0.30275229357798167
exangcp=0.5 & oldpeakcp=0.55,0.44954128440366975
exangcp=0.5 & oldpeakcp=0.55 & agecp=37.5,0.44036697247706424
exangcp=0.5 & oldpeakcp=0.55 & thalachcp=110.0,0.3944954128440367
exangcp=0.5 & oldpeakcp=0.55 & thalachcp=110.0 & agecp=37.5,0.3853211009174312
exangcp=0.5 & oldpeakcp=0.55 & thalachcp=110.0 & thalcp=1.5,0.3669724770642202
exangcp=0.5 & oldpeakcp=0.55 & thalachcp=110.0 & thalcp=1.5 & agecp=37.5,0.3577981651376147
exangcp=0.5 & oldpeakcp=0.55 & thalcp=1.5,0.41284403669724773
exangcp=0.5 & oldpeakcp=0.55 & thalcp=1.5 & agecp=37.5,0.4036697247706422
exangcp=0.5 & cholcp=231.5,0.3486238532110092
exangcp=0.5 & cholcp=231.5 & agecp=37.5,0.3394495412844037
exangcp=0.5 & cholcp=231.5 & thalachcp=110.0,0.30275229357798167
exangcp=0.5 & cholcp=231.5 & thalachcp=110.0 & agecp=37.5,0.29357798165137616
exangcp=0.5 & cholcp=231.5 & thalachcp=110.0 & thalcp=1.5,0.27522935779816515
exangcp=0.5 & cholcp=231.5 & thalachcp=110.0 & thalcp=1.5 & agecp=37.5,0.26605504587155965
exangcp=0.5 & cholcp=231.5 & thalcp=1.5,0.3211009174311927
exangcp=0.5 & cholcp=231.5 & thalcp=1.5 & agecp=37.5,0.3119266055045872
exangcp=0.5 & cholcp=231.5 & oldpeakcp=0.55,0.29357798165137616
exangcp=0.5 & cholcp=231.5 & oldpeakcp=0.55 & agecp=37.5,0.29357798165137616
exangcp=0.5 & cholcp=231.5 & oldpeakcp=0.55 & thalcp=1.5,0.27522935779816515
exangcp=0.5 & cholcp=231.5 & oldpeakcp=0.55 & thalcp=1.5 & agecp=37.5,0.27522935779816515
thalachcp=110.0,0.8807339449541285
thalachcp=110.0 & agecp=37.5,0.8623853211009175
thalachcp=110.0 & thalcp=1.5,0.8073394495412844
thalachcp=110.0 & thalcp=1.5 & agecp=37.5,0.7889908256880734
cacp=0.5,0.6605504587155964
cacp=0.5 & agecp=37.5,0.6605504587155964
cacp=0.5 & thalachcp=110.0,0.5412844036697247
cacp=0.5 & thalachcp=110.0 & agecp=37.5,0.5412844036697247
cacp=0.5 & thalachcp=110.0 & thalcp=1.5,0.48623853211009177
cacp=0.5 & thalachcp=110.0 & thalcp=1.5 & agecp=37.5,0.48623853211009177
cacp=0.5 & thalcp=1.5,0.5871559633027523
cacp=0.5 & thalcp=1.5 & agecp=37.5,0.5871559633027523
cacp=0.5 & oldpeakcp=0.55,0.5045871559633027
cacp=0.5 & oldpeakcp=0.55 & agecp=37.5,0.5045871559633027
cacp=0.5 & oldpeakcp=0.55 & thalachcp=110.0,0.3944954128440367
cacp=0.5 & oldpeakcp=0.55 & thalachcp=110.0 & agecp=37.5,0.3944954128440367
cacp=0.5 & oldpeakcp=0.55 & thalachcp=110.0 & thalcp=1.5,0.3486238532110092
cacp=0.5 & oldpeakcp=0.55 & thalachcp=110.0 & thalcp=1.5 & agecp=37.5,0.3486238532110092
cacp=0.5 & oldpeakcp=0.55 & thalcp=1.5,0.44036697247706424
cacp=0.5 & oldpeakcp=0.55 & thalcp=1.5 & agecp=37.5,0.44036697247706424
comcp=0.5,0.28440366972477066
comcp=0.5 & agecp=37.5,0.28440366972477066
comcp=0.5 & thalachcp=110.0,0.26605504587155965
comcp=0.5 & thalachcp=110.0 & agecp=37.5,0.26605504587155965
comcp=0.5 & thalcp=1.5,0.25688073394495414
comcp=0.5 & thalcp=1.5 & agecp=37.5,0.25688073394495414
thalcp=1.5,0.908256880733945
thalcp=1.5 & agecp=37.5,0.8899082568807339
cholcp=272.5,0.3119266055045872
cholcp=272.5 & agecp=37.5,0.30275229357798167
cholcp=272.5 & thalachcp=110.0,0.25688073394495414
cholcp=272.5 & thalcp=1.5,0.29357798165137616
cholcp=272.5 & thalcp=1.5 & agecp=37.5,0.28440366972477066
cholcp=272.5 & cholcp=231.5,0.3119266055045872
cholcp=272.5 & cholcp=231.5 & agecp=37.5,0.30275229357798167
cholcp=272.5 & cholcp=231.5 & thalachcp=110.0,0.25688073394495414
cholcp=272.5 & cholcp=231.5 & thalcp=1.5,0.29357798165137616
cholcp=272.5 & cholcp=231.5 & thalcp=1.5 & agecp=37.5,0.28440366972477066
thalcp=2.5,0.6146788990825688
thalcp=2.5 & agecp=37.5,0.5963302752293578
thalcp=2.5 & thalachcp=110.0,0.5596330275229358
thalcp=2.5 & thalachcp=110.0 & agecp=37.5,0.5412844036697247
thalcp=2.5 & thalachcp=110.0 & thalcp=1.5,0.5596330275229358
thalcp=2.5 & thalachcp=110.0 & thalcp=1.5 & agecp=37.5,0.5412844036697247
thalcp=2.5 & cacp=0.5,0.3853211009174312
