rule,normalized_support,coverage,h_value,ch_value,oh_value
agecp >= 37.5,1.0,0.981651376146789,0.45726495726495725,0.44887477456284797,0.45726495726495725
thalachcp >= 110.0,1.0,0.8807339449541285,0.42105263157894735,0.37083534524384354,0.42105263157894735
thalachcp >= 110.0 & agecp >= 37.5,1.0,0.8623853211009175,0.42727272727272725,0.3684737281067556,0.42727272727272725
thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5,1.0,0.7889908256880734,0.41545893719806765,0.3277932898993928,0.41545893719806765
thalcp >= 1.5 & thalachcp >= 110.0,1.0,0.8073394495412844,0.40930232558139534,0.3304459142308513,0.40930232558139534
thalcp >= 1.5 & agecp >= 37.5,1.0,0.8899082568807339,0.4429223744292237,0.3941602781617862,0.4429223744292237
thalcp >= 1.5,1.0,0.908256880733945,0.43612334801762115,0.3961120316857293,0.43612334801762115
agecp >= 56.5,0.75,0.6238532110091743,0.6017699115044248,0.37541609158074213,0.4513274336283186
agecp >= 56.5 & thalachcp >= 110.0,0.75,0.5412844036697247,0.5728155339805825,0.31005611472343453,0.42961165048543687
agecp >= 56.5 & thalcp >= 1.5,0.75,0.5688073394495413,0.5961538461538461,0.33909668313338037,0.4471153846153846
agecp >= 56.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.75,0.4954128440366973,0.5684210526315789,0.2816030902945437,0.4263157894736842
trestbpscp >= 129.0,0.75,0.5321100917431193,0.44274809160305345,0.23559072764199177,0.3320610687022901
trestbpscp >= 129.0 & agecp >= 37.5,0.75,0.5321100917431193,0.453125,0.24111238532110094,0.33984375
trestbpscp >= 129.0 & thalachcp >= 110.0,0.75,0.45871559633027525,0.4065040650406504,0.18646975460580295,0.3048780487804878
trestbpscp >= 129.0 & thalachcp >= 110.0 & agecp >= 37.5,0.75,0.45871559633027525,0.4166666666666667,0.19113149847094804,0.3125
trestbpscp >= 129.0 & thalcp >= 1.5,0.75,0.47706422018348627,0.42276422764227645,0.2016856865816365,0.3170731707317073
trestbpscp >= 129.0 & thalcp >= 1.5 & agecp >= 37.5,0.75,0.47706422018348627,0.43333333333333335,0.2067278287461774,0.325
trestbpscp >= 129.0 & thalcp >= 1.5 & thalachcp >= 110.0,0.75,0.42201834862385323,0.39316239316239315,0.16592174390339529,0.2948717948717949
trestbpscp >= 129.0 & thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5,0.75,0.42201834862385323,0.40350877192982454,0.17028810558506358,0.3026315789473684
oldpeakcp >= 0.55,0.75,0.7522935779816514,0.5985401459854015,0.4502779079890177,0.44890510948905116
oldpeakcp >= 0.55 & agecp >= 37.5,0.75,0.7431192660550459,0.6044776119402985,0.44919895933178144,0.45335820895522383
oldpeakcp >= 0.55 & thalachcp >= 110.0,0.75,0.6422018348623854,0.56,0.35963302752293586,0.42000000000000004
oldpeakcp >= 0.55 & thalachcp >= 110.0 & agecp >= 37.5,0.75,0.6330275229357798,0.5655737704918032,0.35802376297187544,0.4241803278688524
oldpeakcp >= 0.55 & thalcp >= 1.5,0.75,0.6697247706422018,0.584,0.3911192660550458,0.43799999999999994
oldpeakcp >= 0.55 & thalcp >= 1.5 & agecp >= 37.5,0.75,0.6605504587155964,0.5901639344262295,0.389833057602647,0.4426229508196721
oldpeakcp >= 0.55 & thalcp >= 1.5 & thalachcp >= 110.0,0.75,0.5779816513761468,0.5478260869565217,0.31663342640606296,0.41086956521739126
oldpeakcp >= 0.55 & thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5,0.75,0.5688073394495413,0.5535714285714286,0.3148754914809961,0.41517857142857145
exangcp >= 0.5 & thalcp >= 1.5 & agecp >= 37.5,0.5,0.47706422018348627,0.7647058823529411,0.36481381543443064,0.38235294117647056
exangcp >= 0.5 & thalcp >= 1.5,0.5,0.4954128440366973,0.7714285714285715,0.3821756225425951,0.38571428571428573
exangcp >= 0.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.5,0.44036697247706424,0.75,0.3302752293577982,0.375
exangcp >= 0.5 & thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5,0.5,0.42201834862385323,0.7419354838709677,0.3131103876886653,0.3709677419354839
exangcp >= 0.5 & agecp >= 56.5 & thalachcp >= 110.0,0.5,0.28440366972477066,0.7948717948717948,0.2260644554222536,0.3974358974358974
exangcp >= 0.5 & agecp >= 56.5,0.5,0.3119266055045872,0.8095238095238095,0.2525120139799039,0.40476190476190477
comcp >= 0.5 & thalachcp >= 110.0 & agecp >= 37.5,0.5,0.26605504587155965,0.23387096774193547,0.062222551050606686,0.11693548387096774
comcp >= 0.5 & thalachcp >= 110.0,0.5,0.26605504587155965,0.2248062015503876,0.05981082426569946,0.1124031007751938
comcp >= 0.5 & agecp >= 37.5,0.5,0.28440366972477066,0.2440944881889764,0.06942136820053457,0.1220472440944882
comcp >= 0.5,0.5,0.28440366972477066,0.23484848484848486,0.0667917709202113,0.11742424242424243
comcp >= 0.5 & thalcp >= 1.5,0.5,0.25688073394495414,0.2222222222222222,0.05708460754332314,0.1111111111111111
comcp >= 0.5 & thalcp >= 1.5 & agecp >= 37.5,0.5,0.25688073394495414,0.23140495867768596,0.05944347562362575,0.11570247933884298
comcp >= 0.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.5,0.23853211009174313,0.21138211382113822,0.05042142164540912,0.10569105691056911
comcp >= 0.5 & thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5,0.5,0.23853211009174313,0.22033898305084745,0.05255792256258747,0.11016949152542373
comcp >= 0.5 & trestbpscp >= 129.0 & thalachcp >= 110.0 & agecp >= 37.5,0.5,0.1559633027522936,0.23943661971830985,0.037343326011112545,0.11971830985915492
comcp >= 0.5 & trestbpscp >= 129.0 & thalachcp >= 110.0,0.5,0.1559633027522936,0.2328767123287671,0.036320221188890285,0.11643835616438356
comcp >= 0.5 & trestbpscp >= 129.0 & agecp >= 37.5,0.5,0.1651376146788991,0.25,0.04128440366972477,0.125
comcp >= 0.5 & trestbpscp >= 129.0,0.5,0.1651376146788991,0.24324324324324326,0.04016860897594843,0.12162162162162163
comcp >= 0.5 & trestbpscp >= 129.0 & thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5,0.5,0.13761467889908258,0.22058823529411764,0.030356179168915275,0.11029411764705882
comcp >= 0.5 & trestbpscp >= 129.0 & thalcp >= 1.5 & thalachcp >= 110.0,0.5,0.13761467889908258,0.21428571428571427,0.02948885976408912,0.10714285714285714
comcp >= 0.5 & trestbpscp >= 129.0 & thalcp >= 1.5 & agecp >= 37.5,0.5,0.14678899082568808,0.2318840579710145,0.03403802685813057,0.11594202898550725
comcp >= 0.5 & trestbpscp >= 129.0 & thalcp >= 1.5,0.5,0.14678899082568808,0.22535211267605634,0.033079209200155064,0.11267605633802817
thalcp >= 2.5,0.5,0.6146788990825688,0.7528089887640449,0.462735800432945,0.37640449438202245
thalcp >= 2.5 & agecp >= 37.5,0.5,0.5963302752293578,0.7471264367816092,0.4455341136771064,0.3735632183908046
thalcp >= 2.5 & exangcp >= 0.5,0.5,0.3761467889908257,0.9111111111111111,0.34271151885830786,0.45555555555555555
thalcp >= 2.5 & exangcp >= 0.5 & agecp >= 37.5,0.5,0.3577981651376147,0.9069767441860465,0.3245146148922552,0.45348837209302323
thalcp >= 2.5 & exangcp >= 0.5 & thalachcp >= 110.0,0.5,0.3486238532110092,0.9047619047619048,0.31542158147662736,0.4523809523809524
thalcp >= 2.5 & exangcp >= 0.5 & thalachcp >= 110.0 & agecp >= 37.5,0.5,0.3302752293577982,0.9,0.29724770642201837,0.45
thalcp >= 2.5 & exangcp >= 0.5 & agecp >= 56.5,0.5,0.22018348623853212,0.9230769230769231,0.20324629498941427,0.46153846153846156
thalcp >= 2.5 & exangcp >= 0.5 & agecp >= 56.5 & thalachcp >= 110.0,0.5,0.21100917431192662,0.92,0.1941284403669725,0.46
thalcp >= 2.5 & exangcp >= 0.5 & oldpeakcp >= 0.55,0.5,0.3394495412844037,0.9736842105263158,0.33051665861902463,0.4868421052631579
thalcp >= 2.5 & exangcp >= 0.5 & oldpeakcp >= 0.55 & agecp >= 37.5,0.5,0.3302752293577982,0.972972972972973,0.3213488718075874,0.4864864864864865
thalcp >= 2.5 & exangcp >= 0.5 & oldpeakcp >= 0.55 & thalachcp >= 110.0,0.5,0.3119266055045872,0.9714285714285714,0.3030144167758847,0.4857142857142857
thalcp >= 2.5 & exangcp >= 0.5 & oldpeakcp >= 0.55 & thalachcp >= 110.0 & agecp >= 37.5,0.5,0.30275229357798167,0.9705882352941176,0.2938478143550999,0.4852941176470588
exangcp >= 0.5 & agecp >= 56.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.5,0.27522935779816515,0.8108108108108109,0.22315893875526904,0.40540540540540543
exangcp >= 0.5 & oldpeakcp >= 0.55,0.5,0.44954128440366975,0.8596491228070176,0.3864477708031547,0.4298245614035088
exangcp >= 0.5 & oldpeakcp >= 0.55 & agecp >= 37.5,0.5,0.44036697247706424,0.8571428571428571,0.37745740498034075,0.42857142857142855
exangcp >= 0.5 & oldpeakcp >= 0.55 & thalachcp >= 110.0,0.5,0.3944954128440367,0.8431372549019608,0.33261377945673687,0.4215686274509804
exangcp >= 0.5 & oldpeakcp >= 0.55 & thalachcp >= 110.0 & agecp >= 37.5,0.5,0.3853211009174312,0.84,0.3236697247706422,0.42
exangcp >= 0.5 & agecp >= 56.5 & thalcp >= 1.5,0.5,0.30275229357798167,0.825,0.24977064220183487,0.4125
exangcp >= 0.5 & oldpeakcp >= 0.55 & thalcp >= 1.5 & agecp >= 37.5,0.5,0.4036697247706422,0.8627450980392157,0.34826407627271094,0.43137254901960786
exangcp >= 0.5 & oldpeakcp >= 0.55 & thalcp >= 1.5,0.5,0.41284403669724773,0.8653846153846154,0.3572688779110798,0.4326923076923077
exangcp >= 0.5 & oldpeakcp >= 0.55 & thalcp >= 1.5 & thalachcp >= 110.0,0.5,0.3669724770642202,0.851063829787234,0.3123170017567832,0.425531914893617
exangcp >= 0.5 & oldpeakcp >= 0.55 & thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5,0.5,0.3577981651376147,0.8478260869565217,0.30335061826884724,0.42391304347826086
exangcp >= 0.5 & oldpeakcp >= 0.55 & agecp >= 56.5 & thalachcp >= 110.0,0.5,0.22018348623853212,0.8275862068965517,0.1822208161974059,0.41379310344827586
exangcp >= 0.5 & oldpeakcp >= 0.55 & agecp >= 56.5,0.5,0.24770642201834864,0.84375,0.20900229357798167,0.421875
exangcp >= 0.5 & oldpeakcp >= 0.55 & agecp >= 56.5 & thalcp >= 1.5,0.5,0.24770642201834864,0.8709677419354839,0.21574430304823913,0.43548387096774194
